

1	LXXIIX	LXXIIX	NE	LXXIIX	nom|sg|neut	--	0
110	schafft	schafft	VVFIN	schaffen	sg|3|pres|ind	CJ	103
111	mit	mit	APPR	mit	_	MO	110
112	seinem	seinem	PPOSAT	sein	dat|sg|masc	NK	113
113	Rath	Rat	NN	Rat	dat|sg|masc	NK	111
114	Nutz	Nutz	NN	Nutz	dat|sg|masc	OA	110
115	/	/	$,	/	_	--	114
116	und	und	KON	und	_	CD	110
117	triffts	trifft	VVFIN	treffen	sg|3|pres|ind	CJ	116
118	/	/	$,	/	_	--	117
119	sagt	sagt	VVFIN	sagen	sg|3|pres|ind	RE	141
120	Syrach	Syrach	NE	Syrach	nom|sg|*	SB	119
121	/	/	$,	/	_	--	120
122	mancher	mancher	PIAT	manch	gen|pl|masc	SB	124
123	aber	aber	ADV	aber	_	MO	11
124	wil	will	VMFIN	wollen	sg|3|pres|ind	OC	119
125	kluͤglich	klüglich	ADJD	klüglich	pos	MO	126
126	rathen	raten	VVINF	raten	_	OC	124
127	/	/	$,	/	_	--	126
128	und	und	KON	und	_	CD	124
129	man	man	PIS	man	nom|sg|*	SB	130
130	hoͤret	höret	VVFIN	hören	sg|3|pres|ind	CJ	128
131	ihn	ihn	PPER	er	acc|sg|masc|3	OA	130
132	doch	doch	ADV	doch	_	MO	130
133	nicht	nicht	PTKNEG	nicht	_	NG	134
134	gern	gern	ADV	gern	_	MO	130
135	/	/	$,	/	_	--	134
136	und	und	KON	und	_	CD	130
137	bleibt	bleibt	VVFIN	bleiben	sg|3|pres|ind	CJ	136
138	ein	ein	ART	ein	nom|sg|masc	NK	139
139	Bettler	Bettler	NN	Bettler	nom|sg|masc	SB	137
140	/	/	$,	/	_	--	139
141	dann	dann	KON	dann	_	MO	11
142	er	er	PPER	er	nom|sg|masc|3	SB	143
143	hat	hat	VAFIN	haben	sg|3|pres|ind	RE	141
144	nicht	nicht	PTKNEG	nicht	_	NG	151
145	vom	vom	APPRART	vom	dat|sg|masc	MO	151
146	HErrn	Herrn	NN	Herr	dat|sg|masc	NK	145
147	die	die	ART	d	acc|sg|fem	NK	148
148	Gnad	Gnade	NN	Gnade	acc|sg|fem	SB	152
149	dazu	dazu	PAV	dazu	_	MNR	148
150	/	/	$,	/	_	--	149
151	un̄	un	KON	und	_	OC	143
152	ist	ist	VAFIN	sein	sg|3|pres|ind	CJ	143
153	keine	keine	PIAT	kein	nom|sg|fem	NK	154
154	Weißheit	Weisheit	NN	Weisheit	nom|sg|fem	SB	152
155	in	in	APPR	in	_	MO	152
156	ihm	ihm	PPER	er	dat|sg|masc|3	NK	155
157	Ein	Ein	ART	ein	nom|sg|masc	NK	159
158	beruͤhmter	berühmter	ADJA	berühmt	nom|sg|masc|pos	NK	159
159	Cantzler	Kanzler	NN	Kanzler	nom|sg|masc	SB	160
160	brachte	brachte	VVFIN	bringen	sg|3|past|ind	CJ	152
161	seinem	seinem	PPOSAT	sein	dat|sg|masc	NK	162
162	Herrn	Herrn	NN	Herr	dat|sg|masc	DA	160
163	/	/	$,	/	_	--	162
164	der	der	PRELS	d	nom|sg|masc	NK	168
165	ein	ein	ART	ein	nom|sg|masc	NK	167
166	Gelehrter	Gelehrter	NN	gelehrter	nom|sg|masc|pos	NK	167
167	Fuͤrst	Fürst	NN	Fürst	nom|sg|masc	PD	168
168	war	war	VAFIN	sein	sg|3|past|ind	RC	162
169	/	/	$,	/	_	--	168
170	eine	eine	ART	ein	nom|sg|fem	NK	172
171	schwere	schwere	ADJA	schwer	nom|sg|fem|pos	NK	172
172	Sache	Sache	NN	Sache	nom|sg|fem	OA	179
173	fuͤr	für	PTKVZ	für	_	MNR	172
174	/	/	$,	/	_	--	173
175	mit	mit	APPR	mit	_	MO	179
176	Bewegung	Bewegung	NN	Bewegung	dat|sg|fem	NK	175
177	die	die	ART	d	nom|pl|*	NK	187
178	zu	zu	PTKZU	zu	_	PM	179
179	lesen	lesen	VVINF	lesen	_	OC	160
180	/	/	$,	/	_	--	179
181	und	und	KON	und	_	CD	179
182	was	was	PWS	was	nom|sg|neut	OA	193
183	Seine	Seine	PPOSAT	sein	nom|sg|fem	NK	185
184	Fuͤrstliche	Fürstliche	ADJA	fürstlich	acc|pl|fem|pos	NK	185
185	Gnaden	Gnaden	NN	Gnade	acc|pl|fem	NK	173
186	darinn	darin	PAV	darin	_	MO	193
187	recht	Recht	NN	Recht	acc|sg|neut	PD	189
188	zu	zu	APPR	zu	_	PM	189
189	sein	sein	PPOSAT	sein	_	OC	66
190	beduncke	beduncke	NN	beduncke	pos	PD	189
191	/	/	$,	/	_	--	190
192	zu	zu	PTKZU	zu	_	PM	193
193	sagen	sagen	VVINF	sagen	_	CJ	181
194	:	:	SENT	:	_	--	193

1	Nach	Nach	APPR	Nach	_	MO	12
2	Durchlesung	Durchlesung	NN	Durchlesung	dat|sg|fem	NK	1
3	der	der	ART	d	gen|pl|fem	NK	4
4	Acten	Akten	NN	Akte	gen|pl|masc	AG	2
5	,	,	$,	,	_	--	4
6	und	und	KON	und	_	CD	2
7	Beredung	Beredung	NE	Beredung	gen|sg|fem	CJ	6
8	mit	mit	APPR	mit	_	MNR	7
9	dem	dem	ART	d	dat|sg|masc	NK	10
10	Cantzler	Kanzler	NN	Kanzler	dat|sg|masc	NK	8
11	/	/	$,	/	_	--	10
12	befindet	befindet	VVFIN	befinden	sg|3|pres|ind	--	0
13	der	der	ART	d	nom|sg|masc	NK	14
14	Fuͤrst	Fürst	NN	Fürst	nom|sg|masc	SB	12
15	das	das	PDS	d	acc|sg|neut	OA	12
16	der	der	ART	d	nom|sg|masc	NK	17
17	Cantzler	Kanzler	NN	Kanzler	nom|sg|masc	SB	21
18	zu	zu	PTKA	zu	_	MO	19
19	weit	weit	ADJD	weit	pos	MO	20
20	gehen	gehen	VVINF	gehen	_	OC	21
21	wil	will	VMFIN	wollen	sg|3|pres|ind	RC	15
22	/	/	$,	/	_	--	21
23	fragt	fragt	VVFIN	fragen	sg|3|pres|ind	PAR	15
24	derwegen	derwegen	PAV	derwegen	_	MO	23
25	mit	mit	APPR	mit	_	MO	12
26	was	was	PIAT	was	acc|sg|neut	NK	27
27	Gruͤnde	Gründe	NN	Grund	acc|pl|masc	NK	25
28	er	er	PPER	er	nom|sg|masc|3	SB	32
29	solches	solches	PIAT	solch	acc|sg|neut	NK	30
30	Urtheil	Urteil	NN	Urteil	acc|sg|neut	SB	23
31	faͤliē	Feli	NE	Feli	nom|sg|*	NK	30
32	wolle	wolle	ADV	wohl	sg|3|pres|subj	OC	12
33	/	/	$,	/	_	--	32
34	da	da	KOUS	da	_	CP	38
35	nun	nun	ADV	nun	_	MO	38
36	der	der	ART	d	nom|sg|masc	NK	37
37	Cantzler	Kanzler	NN	Kanzler	nom|sg|masc	SB	38
38	spricht	spricht	VVFIN	sprechen	sg|3|pres|ind	MO	32
39	/	/	$,	/	_	--	38
40	nach	nach	ADV	nach	_	MO	32
41	Außweissen	ausweißen	VVFIN	ausweißen	_	MO	40
42	der	der	ART	d	dat|sg|fem	NK	43
43	Rechte	Rechte	NN	Recht	dat|sg|fem	NK	40
44	:	:	SENT	:	_	--	43

1	begeret	begehret	VVPP	begehren	sg|3|pres|ind	MO	23
2	der	der	ART	d	nom|sg|masc	NK	3
3	Fuͤrst	Fürst	NN	Fürst	nom|sg|masc	SB	1
4	/	/	$,	/	_	--	3
5	er	er	PPER	er	nom|sg|masc|3	SB	6
6	wolle	wolle	VMFIN	wollen	sg|3|pres|subj	OC	1
7	die	die	ART	d	acc|pl|neut	NK	8
8	Rechts-Buͤcher	Rechts-Bücher	NN	Rechts-Bücher	acc|pl|neut	OA	9
9	herhohlen	herholen	VVINF	herholen	_	OC	6
10	/	/	$,	/	_	--	9
11	daß	daß	KOUS	daß	_	CP	16
12	Er	Er	PPER	Er	nom|sg|masc|3	SB	16
13	den	den	ART	d	acc|sg|masc	NK	14
14	Text	Text	NN	Text	acc|sg|masc	OA	16
15	selber	selber	PRF	selber	_	MNR	14
16	besehe	besehe	VVFIN	besehe	sg|3|pres|subj	OC	8
17	/	/	$,	/	_	--	16
18	wie	wie	KOUS	wie	_	MO	21
19	das	das	PDS	d	nom|sg|neut	SB	16
20	nun	nun	ADV	nun	_	MO	16
21	geschach	geschach	ADJD	geschach	pos	MO	16
22	/	/	$,	/	_	--	21
23	spricht	spricht	VVFIN	sprechen	sg|3|pres|ind	--	0
24	der	der	ART	d	nom|sg|masc	NK	25
25	Fuͤrst	Fürst	NN	Fürst	nom|sg|masc	SB	23
26	.	.	SENT	.	_	--	25

1	Ey	Ei	ITJ	Ei	_	CP	14
2	ich	ich	PPER	ich	nom|sg|*|1	SB	3
3	finde	finde	VVFIN	finden	sg|1|pres|ind	--	0
4	im	im	APPRART	im	dat|sg|masc	MO	3
5	Text	Text	NN	Text	dat|sg|masc	NK	4
6	die	die	ART	d	acc|sg|fem	NK	7
7	Meinung	Meinung	NN	Meinung	acc|sg|fem	OA	3
8	nicht	nicht	PTKNEG	nicht	_	NG	14
9	/	/	$,	/	_	--	8
10	so	so	PTKREL	so	_	MO	11
11	ihr	ihr	PPER	Ihr	dat|sg|fem|3	OA	13
12	darauß	daraus	PAV	daraus	_	OP	13
13	zwingen	zwingen	VVINF	zwingen	_	OC	14
14	wolte	wollte	VMFIN	wollen	sg|3|past|ind	CJ	3
15	/	/	$,	/	_	--	14
16	und	und	KON	und	_	CD	14
17	der	der	ART	d	nom|sg|masc	NK	18
18	Cantzler	Kanzler	NN	Kanzler	nom|sg|masc	SB	19
19	antwortet	antwortet	VVFIN	antworten	sg|3|pres|ind	CJ	16
20	:	:	SENT	:	_	--	19

1	Ey	Ei	ITJ	Ei	_	MO	7
2	gnaͤdiger	gnädiger	ADJA	gnädig	nom|sg|masc|pos	NK	3
3	Herr	Herr	NN	Herr	nom|sg|masc	NK	1
4	/	/	$,	/	_	--	3
5	die	die	ART	d	nom|pl|masc	NK	6
6	Seribenten	Seribenten	NN	Seribenten	nom|pl|masc	SB	7
7	erklaͤren	erklären	VVFIN	erklären	pl|3|pres|ind	--	0
8	es	es	PPER	es	acc|sg|neut|3	OA	7
9	also	also	ADV	also	_	MO	7
10	in	in	APPR	in	_	MO	7
11	ihren	ihren	PPOSAT	ihr	dat|pl|fem	NK	12
12	Glossen	Glossen	NN	Glossen	dat|pl|fem	NK	10
13	/	/	$,	/	_	--	12
14	ward	wurde	VAFIN	werden	sg|3|past|ind	CJ	7
15	also	also	ADV	also	_	MO	16
16	nach	nach	APPR	nach	_	MO	24
17	des	des	ART	d	gen|sg|masc	NK	19
18	frommen	frommen	ADJA	fromm	gen|sg|masc|pos	NK	19
19	Herrn	Herrn	NN	Herr	gen|sg|masc	NK	16
20	Anleitung	Anleitung	NN	Anleitung	nom|sg|fem	NK	19
21	das	das	ART	d	acc|sg|neut	NK	23
22	rechte	rechte	ADJA	recht	acc|sg|neut|pos	NK	23
23	Urtheil	Urteil	NN	Urteil	acc|sg|neut	SB	14
24	gesprochen	gesprochen	VVPP	sprechen	_	OC	14
25	/	/	$,	/	_	--	24
26	das	das	PRELS	d	acc|sg|neut	SB	35
27	es	es	PPER	es	nom|sg|neut|3	EP	34
28	sonst	sonst	ADV	sonst	_	MO	34
29	in	in	APPR	in	_	MO	34
30	den	den	ART	d	dat|pl|fem	NK	31
31	Glossen	Glossen	NN	Glossen	dat|pl|fem	NK	29
32	viel	viel	PIAT	viel	*|*|*	NK	33
33	disputirens	Disputierens	NN	Disputierens	gen|sg|neut	OA	34
34	gegeben	gegeben	VVPP	geben	_	OC	35
35	haͤtte	hätte	VAFIN	haben	sg|3|past|subj	RC	23
36	/	/	$,	/	_	--	35
37	thun	tun	VVFIN	tun	_	MO	39
38	also	also	ADV	also	_	MO	39
39	mannichmahl	mannichmahl	ADV	mannichmahl	pos	MO	34
40	die	die	ART	d	acc|pl|fem	NK	42
41	guten	guten	ADJA	gut	nom|pl|masc|pos	NK	42
42	Naturalia	Naturalia	NE	Naturalia	acc|sg|fem	AMS	43
43	mehr	mehr	ADV	mehr	*|*|*	PD	23
44	als	als	KOKOM	als	_	CM	46
45	grosse	große	ADJA	groß	acc|sg|fem|pos	NK	46
46	Kunst	Kunst	NN	Kunst	acc|sg|fem	CC	43
47	und	und	KON	und	_	CD	46
48	Wissenschafft	Wissenschaft	NN	Wissenschaft	acc|sg|fem	CJ	47
49	.	.	SENT	.	_	--	48

1	Es	Es	PPER	es	nom|sg|neut|3	SB	2
2	wird	wird	VAFIN	werden	sg|3|pres|ind	--	0
3	eine	eine	ART	ein	nom|sg|fem	NK	5
4	seine	seine	PPOSAT	sein	acc|sg|fem	NK	5
5	Histori	Historie	NN	Historie	nom|sg|fem	SB	2
6	gesagt	gesagt	VVPP	sagen	_	OC	2
7	/	/	$,	/	_	--	6
8	die	die	PRELS	d	acc|pl|fem	SB	10
9	geschehen	geschehen	VVFIN	geschehen	_	OC	10
10	soll	soll	VMFIN	sollen	sg|3|pres|ind	CJ	2
11	seyn	sein	PPOSAT	sein	_	OC	10
12	zum	zum	APPRART	zum	dat|sg|masc	MO	2
13	Zeiten	Zeiten	NN	Zeit	dat|sg|masc	NK	12
14	Hertzog	Herzog	NN	Hertzog	nom|sg|masc	NK	13
15	Friederichs	Friederichs	NE	Friederichs	nom|sg|masc	PD	2
16	des	des	ART	d	gen|sg|masc	NK	19
17	weisen	weisen	NN	Waise	_	NK	19
18	/	/	$,	/	_	--	17
19	Churfuͤrsten	Churfürsten	NN	Kurfürst	gen|sg|masc	AG	15
20	zu	zu	APPR	zu	_	MNR	19
21	Sachsen	Sachsen	NE	Sachsen	dat|sg|neut	NK	20
22	/	/	$,	/	_	--	21
23	daß	daß	KOUS	daß	_	CP	32
24	einer	einer	ART	ein	dat|sg|fem	NK	26
25	armen	armen	ADJA	arm	*|pl|fem|pos	NK	26
26	Wittwen	Witwen	NN	Witwe	dat|pl|fem	DA	32
27	ihre	ihre	PPOSAT	ihr	acc|sg|fem	NK	28
28	Sache	Sache	NN	Sache	acc|sg|fem	OA	32
29	von	von	APPR	von	_	SBP	32
30	den	den	ART	d	dat|pl|masc	NK	31
31	Raͤthen	Räten	NN	Rat	dat|pl|masc	NK	29
32	verkuͤrtzt	verkürzt	VVPP	verkürzen	_	OC	33
33	worden	worden	VAPP	werden	_	OC	2
34	/	/	$,	/	_	--	33
35	dieweil	dieweil	KOUS	dieweil	_	CP	42
36	sich	sich	PRF	er|es|sie	acc|pl|3	OA	42
37	aber	aber	ADV	aber	_	MO	42
38	die	die	ART	d	nom|sg|fem	NK	39
39	Wittwe	Witwe	NN	Witwe	nom|sg|fem	SB	44
40	hierin̄en	hierinnen	ADV	hierinnen	_	MO	41
41	beschweret	beschweret	VVPP	beschweren	pos	MO	42
42	gefunden	gefunden	VVPP	finden	_	OC	44
43	/	/	$,	/	_	--	42
44	hat	hat	VAFIN	haben	sg|3|pres|ind	CJ	10
45	sie	sie	PPER	Sie	nom|sg|fem|3	SB	44
46	an	an	APPR	an	_	MO	44
47	Hochgedachten	Hochgedachten	ADJA	hochgedacht	dat|pl|fem	NK	46
48	Churfuͤrsten	Churfürsten	NN	Kurfürst	acc|sg|masc|pos	NK	49
49	Suppliciret	Suppliciret	VVPP	Suppliciret	acc|sg|masc	OA	44
50	,	,	$,	,	_	--	49
51	und	und	KON	und	_	CD	44
52	ihme	ihm	PPER	er	dat|sg|masc|3	DA	59
53	die	die	ART	d	acc|sg|fem	NK	54
54	Supplication	Supplication	NN	Supplication	nom|sg|fem	OA	59
55	in	in	APPR	in	_	MO	59
56	seine	seine	PPOSAT	sein	acc|sg|fem	NK	58
57	eigene	eigene	ADJA	eigen	acc|sg|fem|pos	NK	58
58	Hand	Hand	NN	Hand	acc|sg|fem	NK	55
59	gegeben	gegeben	VVPP	geben	_	OC	79
60	/	/	$,	/	_	--	59
61	und	und	KON	und	_	CD	59
62	darinn	darin	PAV	darin	_	MO	63
63	gebetten	gebeten	VVPP	bitten	_	CJ	61
64	/	/	$,	/	_	--	63
65	man	man	PIS	man	nom|sg|*	SB	66
66	wollen	wollen	VMFIN	wollen	pl|3|pres|ind	OC	63
67	ihr	ihr	PPER	Ihr	acc|sg|neut	DA	74
68	umb	um	APPR	um	_	MO	66
69	GOttes	Gottes	NE	Gott	gen|sg|masc	AG	70
70	Willen	Willen	NN	Wille	acc|pl|fem	NK	68
71	das	das	ART	d	acc|sg|neut	NK	73
72	rechte	rechte	ADJA	recht	acc|sg|neut|pos	NK	73
73	Recht	Recht	NN	Recht	acc|sg|neut	OA	74
74	wiederfahren	widerfahren	VVINF	widerfahren	_	OC	75
75	lassen	lassen	VVINF	lassen	_	OC	66
76	/	/	$,	/	_	--	75
77	der	der	ART	d	nom|sg|masc	NK	78
78	Churfuͤrst	Churfürst	NN	Kurfürst	nom|sg|masc	SB	79
79	hat	hat	VAFIN	haben	sg|3|pres|ind	CJ	51
80	diese	diese	PDAT	dies	acc|sg|fem	NK	81
81	Supplication	Supplication	NN	Supplication	acc|sg|fem	SB	84
82	seinen	seinen	PPOSAT	sein	dat|pl|masc	NK	83
83	Raͤthen	Räten	NN	Rat	dat|pl|masc	DA	84
84	fuͤrgehaltē	fürgehalte	VVPP	fürgehalte	sg|3|pres|subj	OC	79
85	/	/	$,	/	_	--	84
86	und	und	KON	und	_	CD	66
87	gefragt	gefragt	VVPP	fragen	_	CJ	86
88	:	:	SENT	:	_	--	87

1	ob	ob	KOUS	ob	_	CP	5
2	sie	sie	PPER	Sie	nom|pl|*|3	SB	5
3	zweyerley	zweierlei	PIAT	zweierlei	*|*|*	NK	4
4	Recht	Recht	NN	Recht	acc|sg|neut	OA	5
5	haͤtten	hätten	VAFIN	haben	pl|3|past|subj	--	0
6	?	?	SENT	?	_	--	5

1	Es	Es	PPER	es	nom|sg|neut|3	SB	2
2	muͤste	müßte	VMFIN	müssen	sg|3|past|subj	--	0
3	ja	ja	ADV	ja	_	MO	2
4	nicht	nicht	PTKNEG	nicht	_	NG	2
5	ohne	ohne	APPR	ohne	_	PD	6
6	seyn	sein	PPOSAT	sein	_	OC	2
7	/	/	$,	/	_	--	6
8	dieweil	dieweil	KOUS	dieweil	_	CP	17
9	dieses	dieses	PDAT	dies	nom|sg|neut	NK	10
10	Weib	Weib	NN	Weib	dat|sg|masc	SB	17
11	umb	um	APPR	um	_	MNR	10
12	das	das	ART	d	acc|sg|neut	NK	13
13	Recht	Recht	NN	Recht	acc|sg|neut	NK	11
14	bitte	bitte	VVFIN	bitten	_	MO	17
15	/	/	$,	/	_	--	14
16	so	so	ADV	so	_	MO	17
17	muͤsse	müsse	VMFIN	müssen	sg|3|pres|subj	MO	2
18	zuvor	zuvor	ADV	zuvor	_	MO	17
19	mit	mit	APPR	mit	_	MO	29
20	der	der	ART	d	dat|sg|fem	NK	21
21	Frauen	Frauen	NN	Frau	dat|pl|fem	NK	19
22	von	von	APPR	von	_	PG	21
23	ihnen	ihnen	PPER	sie	dat|pl|*|3	NK	22
24	mit	mit	APPR	mit	_	MO	29
25	dem	dem	ART	d	dat|sg|neut	NK	27
26	unrechten	unrechten	ADJA	unrecht	dat|sg|neut|pos	NK	27
27	Rechte	Rechte	NN	Recht	dat|sg|neut	NK	24
28	sein	sein	VAINF	sein	acc|sg|neut	NK	5
29	gehandelt	gehandelt	VVPP	handeln	_	OC	30
30	worden	worden	VAPP	werden	_	OC	33
31	/	/	$,	/	_	--	30
32	und	und	KON	und	_	CD	17
33	hat	hat	VAFIN	haben	sg|3|pres|ind	CJ	32
34	ihnen	ihnen	PPER	sie	dat|pl|*|3	DA	35
35	befohlen	befohlen	VVPP	befehlen	_	OC	33
36	/	/	$,	/	_	--	35
37	nach	nach	APPR	nach	_	MO	44
38	dem	dem	ART	d	dat|sg|neut	NK	40
39	rechten	rechten	ADJA	rechen	dat|sg|neut|pos	NK	40
40	Recht	Recht	NN	Recht	dat|sg|neut	NK	37
41	mit	mit	APPR	mit	_	MO	44
42	ihr	ihr	PPER	Ihr	dat|sg|fem|3	NK	41
43	zu	zu	PTKZU	zu	_	PM	44
44	handeln	handeln	VVINF	handeln	_	OC	35
45	unnd	und	KON	und	_	CD	44
46	zu	zu	PTKZU	zu	_	PM	47
47	urtheilen	urteilen	VVINF	urteilen	_	CJ	45
48	.	.	SENT	.	_	--	47

1	Es	Es	PPER	es	nom|sg|neut|3	SB	2
2	sehen	sehen	VVINF	sehen	pl|3|pres|ind	--	0
3	wissen	wissen	VVINF	wissen	_	OC	2
4	und	und	KON	und	_	CD	2
5	verstehen	verstehen	VVFIN	verstehen	pl|3|pres|ind	CJ	4
6	die	die	ART	d	nom|pl|masc	NK	7
7	Herrn	Herrn	NN	Herr	nom|pl|masc	SB	5
8	offt	oft	ADV	oft	_	MO	5
9	mehr	mehr	ADV	mehr	*|*|*	OA	5
10	als	als	KOKOM	als	_	CM	12
11	ihre	ihre	PPOSAT	ihr	acc|pl|fem	NK	12
12	Raͤthen	Räten	NN	Rat	acc|pl|fem	CC	9
13	unangesehen	unangesehen	ADJD	unangesehen	pl|3|pres|ind	MO	18
14	sie	sie	PPER	Sie	nom|pl|*|3	SB	13
15	nicht	nicht	PTKNEG	nicht	_	NG	13
16	ex	ex	FM	ex	_	MO	18
17	Professo	Professo	FM	Professo	acc|sg|neut	NK	16
18	studieret	studieret	VVPP	studieret	_	OC	19
19	haben	haben	VAFIN	haben	pl|3|pres|ind	OC	12
20	/	/	$,	/	_	--	19
21	daß	daß	KOUS	daß	_	CP	22
22	kom̄t	kommt	VVFIN	kommen	sg|3|pres|ind	OC	5
23	dahero	daher	ADV	daher	_	MO	22
24	/	/	$,	/	_	--	21
25	GOtt	Gott	NE	Gott	acc|sg|masc	OA	26
26	gibt	gibt	VVFIN	geben	sg|3|pres|ind	OC	22
27	ihnen	ihnen	PPER	sie	dat|pl|*|3	DA	26
28	sonderlich	sonderlich	ADJD	sonderlich	pos	MO	26
29	den	den	ART	d	acc|sg|masc	NK	30
30	Verstand	Verstand	NN	Verstand	acc|sg|masc	OA	26
31	/	/	$,	/	_	--	30
32	weil	weil	KOUS	weil	_	CP	37
33	sie	sie	PPER	Sie	nom|pl|*|3	SB	37
34	ihm	ihm	PPER	er	dat|sg|masc|3	DA	57
35	fleissig	fleißig	ADJD	fleißig	pos	MO	37
36	darumb	darum	PAV	darum	_	OP	37
37	anruffen	anrufen	VVINF	anrufen	_	MO	26
38	/	/	$,	/	_	--	37
39	und	und	KON	und	_	CD	26
40	einer	einer	PIS	ein	nom|sg|masc	SB	47
41	der	der	ART	d	gen|pl|masc	NK	45
42	auff	auf	APPR	auf	_	OP	44
43	der	der	ART	d	dat|sg|fem	NK	42
44	obersten	obersten	ADJA	obere	dat|sg|fem|sup	NK	45
45	Warte	Warte	NN	Warte	dat|sg|fem	AG	40
46	sitzet	sitzet	VVFIN	sitzen	sg|3|pres|ind	NK	45
47	kan	kann	VMFIN	können	sg|3|pres|ind	CJ	39
48	allezeit	allezeit	ADV	allezeit	_	MO	47
49	weiter	weiter	ADV	weit	_	MO	50
50	sehen	sehen	VVINF	sehen	_	OC	47
51	als	als	KOKOM	als	_	MO	50
52	einer	einer	ART	ein	nom|sg|masc	NK	51
53	der	der	PDS	d	gen|pl|masc	SB	57
54	unter	unter	APPR	unter	_	MO	57
55	dem	dem	ART	d	dat|sg|masc	NK	56
56	Baum	Baum	NN	Baum	dat|sg|masc	NK	54
57	stehet	stehet	VVFIN	stehen	sg|3|pres|ind	RC	52
58	.	.	SENT	.	_	--	57

1	Wo	Wo	PWAV	wo	_	MO	5
2	man	man	PIS	man	nom|sg|*	SB	5
3	das	das	ART	d	acc|sg|neut	NK	4
4	Ingenium	Ingenium	NN	Ingenium	acc|sg|neut	OA	5
5	hinrichtet	hinrichtet	ADJD	hinrichtet	sg|3|pres|ind	MO	34
6	/	/	$,	/	_	--	5
7	das	das	PDS	d	acc|sg|neut	OA	8
8	wuͤrcket	würcket	VVFIN	würcket	sg|3|pres|ind	CJ	5
9	es	es	PPER	es	nom|sg|neut|3	SB	8
10	/	/	$,	/	_	--	9
11	und	und	KON	und	_	CD	8
12	haͤlt	hält	VVFIN	halten	sg|3|pres|ind	CJ	11
13	der	der	ART	d	nom|sg|masc	NK	15
14	liebe	liebe	ADJA	lieb	nom|sg|masc|pos	NK	15
15	GOtt	Gott	NE	Gott	nom|sg|masc	SB	12
16	diesen	diesen	PDAT	dies	acc|sg|masc	NK	17
17	Gebrauch	Gebrauch	NN	Gebrauch	acc|sg|masc	OA	12
18	/	/	$,	/	_	--	17
19	daß	daß	KOUS	daß	_	CP	27
20	/	/	$,	/	_	--	19
21	wenn	wenn	KOUS	wenn	_	CP	27
22	er	er	PPER	er	nom|sg|masc|3	SB	27
23	einen	einen	ART	ein	acc|sg|masc	NK	26
24	in	in	APPR	in	_	MO	27
25	ein	ein	ART	ein	acc|sg|neut	NK	26
26	Ampt	Amt	NN	Amt	acc|sg|neut	NK	24
27	schickt	schickt	VVFIN	schicken	sg|3|pres|ind	CJ	12
28	/	/	$,	/	_	--	27
29	so	so	ADV	so	_	MO	30
30	macht	macht	VVFIN	machen	sg|3|pres|ind	--	0
31	er	er	PPER	er	nom|sg|masc|3	SB	30
32	ihn	ihn	PPER	er	acc|sg|masc|3	OA	30
33	auch	auch	ADV	auch	_	MO	34
34	geschickt	geschickt	VVPP	geschickt	_	MO	30
35	.	.	SENT	.	_	--	34

1	Darumb	Darum	PAV	darum	_	OP	2
2	sagt	sagt	VVFIN	sagen	sg|3|pres|ind	--	0
3	Salomo	Salomo	NE	Salomo	nom|sg|*	SB	2
4	/	/	$,	/	_	--	3
5	Weissagung	Weissagung	NN	Weissagung	nom|sg|fem	SB	6
6	ist	ist	VAFIN	sein	sg|3|pres|ind	CJ	3
7	in	in	APPR	in	_	MO	6
8	des	des	ART	d	gen|sg|masc	NK	9
9	Koͤnigs	Königs	NN	König	gen|sg|masc	NK	7
10	Munde	Munde	NN	Mund	nom|sg|masc	PD	6
11	/	/	$,	/	_	--	10
12	und	und	KON	und	_	CD	6
13	sein	sein	PPOSAT	sein	nom|sg|masc	NK	14
14	Mund	Mund	NN	Mund	nom|sg|masc	SB	15
15	fehlet	fehlt	VVFIN	fehlen	sg|3|pres|ind	CJ	12
16	nicht	nicht	PTKNEG	nicht	_	NG	15
17	im	im	APPRART	im	dat|sg|neut	MO	15
18	Gericht	Gericht	NN	Gericht	dat|sg|neut	NK	17
19	/	/	$,	/	_	--	18
20	durch	durch	APPR	durch	_	MO	24
21	die	die	ART	d	acc|sg|fem	NK	22
22	Weißheit	Weisheit	NN	Weisheit	acc|sg|fem	NK	20
23	GOttes	Gottes	NE	Gott	gen|sg|masc	AG	22
24	herrschen	herrschen	VVFIN	herrschen	pl|3|pres|ind	OC	15
25	die	die	ART	d	nom|pl|masc	NK	26
26	Koͤnige	Könige	NN	König	nom|pl|masc	SB	24
27	/	/	$,	/	_	--	26
28	und	und	KON	und	_	CD	24
29	die	die	ART	d	nom|pl|fem	NK	30
30	Rath-Herrn	Rath-Herrn	NN	Rath-Herrn	nom|pl|fem	SB	31
31	setzen	setzen	VVFIN	setzen	pl|3|pres|ind	CJ	28
32	das	das	ART	d	acc|sg|neut	NK	33
33	Recht	Recht	NN	Recht	acc|sg|neut	OA	31
34	/	/	$,	/	_	--	33
35	GOtt	Gott	NE	Gott	acc|sg|masc	OA	36
36	gibt	gibt	VVFIN	geben	sg|3|pres|ind	OC	2
37	ihnen	ihnen	PPER	sie	dat|pl|*|3	DA	36
38	den	den	ART	d	acc|sg|masc	NK	39
39	Geist	Geist	NN	Geist	acc|sg|masc	OA	36
40	der	der	ART	d	gen|sg|fem	NK	41
