

1	Hoert	Hört	VVIMP	hören	pl|2|imp	--	0
12	Ein	Ein	ART	ein	nom|sg|masc	NK	13
13	jeder	jeder	PIS	jed	nom|sg|masc	SB	14
14	gebe	gebe	VVFIN	geben	sg|3|pres|subj	OC	5
15	dann	dann	ADV	dann	_	MO	14
16	den	den	ART	d	acc|sg|masc	NK	18
17	tapfern	tapfern	ADJA	tapfer	acc|sg|masc|pos	NK	18
18	Wider-Hall	Wider-Hall	NN	Wider-Hall	acc|sg|masc	OA	14
19	/	/	$,	/	_	--	18
20	Zun	Zun	NE	Zun	acc|pl|fem	NK	21
21	Waffen	Waffen	NN	Waffe	acc|pl|fem	OA	14
22	/	/	$,	/	_	--	21
23	zum	zum	APPRART	zum	dat|sg|neut	MNR	18
24	Streiten	Streiten	NN	Streiten	dat|sg|neut	NK	23
25	!	!	SENT	!	_	--	24

1	Zun	Zun	NE	Zun	nom|sg|*|pos	NK	2
2	Waffen	Waffen	NN	Waffe	acc|pl|fem	AG	4
3	/	/	$,	/	_	--	2
4	zum	zum	APPRART	zum	dat|sg|neut	--	0
5	Streiten	Streiten	NN	Streiten	dat|sg|neut	NK	4
6	!	!	SENT	!	_	--	5

1	Der	Der	ART	d	nom|sg|masc	NK	2
2	Perser	Perser	ADJA	Perser	nom|sg|masc	SB	14
3	Schwerdt	Schwert	NN	Schwert	nom|sg|neut	NK	2
4	und	und	KON	und	_	CD	3
5	Pfeile	Pfeile	NN	Pfeil	nom|sg|masc	PNC	6
6	Sind	Sind	VAFIN	sein	nom|sg|masc	CJ	4
7	Blitz	Blitz	NN	Blitz	dat|sg|masc	APP	6
8	und	und	KON	und	_	CD	7
9	Donner-Keile	Donner-Keile	NN	Donner-Keile	acc|pl|masc	CJ	8
10	/	/	$,	/	_	--	9
11	Da	Da	KOUS	da	_	CP	14
12	keine	keine	PIAT	kein	nom|sg|fem	NK	13
13	Macht	Macht	NN	Macht	nom|sg|fem	SB	14
14	kan	kann	VMFIN	können	sg|3|pres|ind	--	0
15	widerstehn	widerstehn	VVINF	widerstehn	_	OC	14
16	.	.	SENT	.	_	--	15

1	Es	Es	PPER	es	nom|sg|neut|3	SB	2
2	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
3	nunmehr	nunmehr	ADV	nunmehr	_	MO	9
4	um	um	APPR	um	_	MO	9
5	mich	mich	PPER	ich	acc|sg|*|1	NK	4
6	und	und	KON	und	_	CD	5
7	dieses	dieses	PDAT	dies	acc|sg|neut	NK	8
8	Reich	Reich	NN	Reich	acc|sg|neut	CJ	6
9	geschehn	geschehen	VVPP	geschehen	_	OC	2
10	/	/	$,	/	_	--	9
11	Ich	Ich	PPER	ich	nom|sg|*|1	SB	12
12	muß	muß	VMFIN	müssen	sg|1|pres|ind	CJ	2
13	nur	nur	ADV	nur	_	MO	12
14	in	in	APPR	in	_	MO	19
15	der	der	ART	d	dat|sg|fem	NK	16
16	Flucht	Flucht	NN	Flucht	dat|sg|fem	NK	14
17	mein	mein	PPOSAT	mein	acc|sg|neut	NK	18
18	Heil	Heil	NN	Heil	acc|sg|neut	OA	19
19	versuchen	versuchen	VVINF	versuchen	_	OC	12
20	.	.	SENT	.	_	--	19

1	Ihr	Ihr	PPOSAT	Ihr	nom|sg|masc	NK	2
2	Goͤtter	Götter	NN	Gott	nom|sg|masc	--	0
3	/	/	$,	/	_	--	2
4	Sterne	Sterne	NN	Stern	nom|sg|masc	CJ	2
5	/	/	$,	/	_	--	4
6	Gluͤck	Glück	NN	Glück	nom|sg|neut	CJ	4
7	/	/	$,	/	_	--	6
8	solt	Sold	VMFIN	sollen	nom|sg|masc	CJ	6
9	'	'	$'	'	_	--	8
10	ich	ich	PPER	ich	nom|sg|*|1	SB	8
11	euch	euch	PPER	ihr	acc|pl|*|2	OA	13
12	nicht	nicht	PTKNEG	nicht	_	NG	13
13	verfluchen	verfluchen	VVINF	verfluchen	_	OC	8
14	?	?	SENT	?	_	--	13

1	Ein	Ein	ART	ein	nom|sg|masc	NK	2
2	Lidier	Lidier	NN	Lidier	nom|sg|masc	--	0
3	!	!	SENT	!	_	--	2

1	Stirb	Stirb	VVFIN	Stirb	nom|sg|masc	--	0
2	!	!	SENT	!	_	--	1

1	Es	Es	PPER	es	nom|sg|neut|3	SB	2
2	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
3	der	der	ART	d	nom|sg|masc	NK	4
4	Koͤnig	König	NN	König	nom|sg|masc	PD	2
5	;	;	SENT	;	_	--	4
6	hat	hat	VAFIN	haben	sg|3|pres|ind	MO	2
7	!	!	SENT	!	_	--	6

1	Erschlag	Erschlag	VVFIN	Erschlag	sg|3|past|ind	--	0
2	ihn	ihn	PPER	er	acc|sg|masc|3	OA	1
3	nicht	nicht	PTKNEG	nicht	_	NG	1
4	.	.	SENT	.	_	--	3

1	Ach	Ach	ITJ	ach	_	NK	3
2	welch	welch	PIAT	welch	nom|pl|*	NK	3
3	Entsetzen	Entsetzen	NN	Entsetzen	dat|sg|neut	--	0
4	!	!	SENT	!	_	--	3

1	Wie	Wie	PWAV	wie	_	--	0
2	!	!	SENT	!	_	--	1

1	Atis	Atis	NE	Atis	nom|sg|*	SB	2
2	spricht	spricht	VVFIN	sprechen	sg|3|pres|ind	--	0
3	?	?	SENT	?	_	--	2

1	Der	Der	ART	d	nom|sg|masc	NK	2
2	Koͤnig	König	NN	König	nom|sg|masc	--	0
3	?	?	SENT	?	_	--	2

1	welch	welch	PIAT	welch	nom|pl|*	NK	3
2	'	'	$'	'	_	--	1
3	Ergetzen	Ergötzen	NN	ergötzen	nom|sg|neut	--	0
4	!	!	SENT	!	_	--	3

1	So	So	ADV	so	_	MO	2
2	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
3	er	er	PPER	er	nom|sg|masc|3	SB	2
4	dann	dann	ADV	dann	_	MO	2
5	in	in	APPR	in	_	MO	2
6	unserer	unserer	PPOSAT	unser	dat|sg|fem	NK	7
7	Gewalt	Gewalt	NN	Gewalt	dat|sg|fem	NK	5
8	.	.	SENT	.	_	--	7

1	Fuͤhren	Führen	NN	führen	pl|3|pres|ind	--	0
2	ihn	ihn	PPER	er	acc|sg|masc|3	OA	1
3	gefangen	gefangen	ADJD	gefangen	_	MO	1
4	hinweg	hinweg	PTKVZ	hinweg	_	SVP	1
5	.	.	SENT	.	_	--	4

1	Ach	Ach	ITJ	ach	_	NK	0
2	!	!	SENT	!	_	--	0

1	ich	ich	PPER	ich	nom|sg|*|1	SB	2
2	erstick	erstick	VVINF	erstick	sg|1|past|ind	--	0
3	im	im	APPRART	im	dat|sg|neut	MO	2
4	Blut	Blut	NN	Blut	dat|sg|neut	NK	3
5	.	.	SENT	.	_	--	4

1	Wirfft	wirft	VVFIN	werfen	sg|3|pres|ind	--	0
2	haͤuffig	häufig	ADJD	häufig	pos	MO	1
3	Blut	Blut	NN	Blut	acc|sg|fem	OA	1
4	aus	aus	PTKVZ	aus	_	SVP	1
5	.	.	SENT	.	_	--	4

1	Wir	Wir	PPER	wir	nom|pl|*|1	SB	2
2	muͤssen	müssen	VMFIN	müssen	pl|1|pres|ind	--	0
3	eiligst	eiligst	ADJD	eilig	_	MO	2
4	nur	nur	ADV	nur	_	MO	6
5	die	die	ART	d	acc|sg|fem	NK	6
6	Flucht	Flucht	NN	Flucht	acc|sg|fem	OA	7
7	ergreiffen	ergreifen	VVINF	ergreifen	_	OC	2
8	/	/	$,	/	_	--	7
9	Weils	Weils	ADV	Weils	gen|sg|neut	SB	13
10	hie	hie	ADV	hie	_	MO	13
11	nicht	nicht	PTKNEG	nicht	_	NG	13
12	sicher	sicher	ADJD	sicher	pos	PD	13
13	ist	ist	VAFIN	sein	sg|3|pres|ind	CJ	2
14	fuͤr	für	APPR	für	_	MO	13
15	unsrer	unsrer	PPOSAT	unser	pos	NK	16
16	Feinde	Feinde	NN	Feind	acc|pl|masc	NK	14
17	Streiffen	Streifen	NN	Streifen	acc|pl|masc	PD	13
18	.	.	SENT	.	_	--	17

1	Wie	Wie	PWAV	wie	_	MO	2
2	kraͤnckt	kränkt	VVFIN	kränkt	pos	MO	4
3	es	es	PPER	es	nom|sg|neut|3	PH	4
4	meinen	meinen	PPOSAT	mein	pl|3|pres|ind	--	0
5	Muth	Mut	NN	Mut	acc|sg|masc	OA	4
6	/	/	$,	/	_	--	5
7	Daß	Dass	KOUS	Dass	_	CP	11
8	ich	ich	PPER	ich	nom|sg|*|1	SB	11
9	den	den	ART	d	acc|sg|masc	NK	10
10	Vater	Vater	NN	Vater	acc|sg|masc	SB	11
11	muß	muß	VMFIN	müssen	sg|3|pres|ind	MO	4
12	Gefangen	Gefangen	NN	Gefangen	acc|pl|fem	OA	13
13	hinterlassen	hinterlassen	VVPP	hinterlassen	_	OC	11
14	.	.	SENT	.	_	--	13

1	So	So	ADV	so	_	MO	2
2	wils	Wills	VMFIN	wollen	nom|sg|masc	SB	8
3	des	des	ART	d	gen|sg|masc	NK	4
4	Himmels	Himmels	NN	Himmel	gen|sg|masc	AG	2
5	Schluß	Schluß	NN	Schluß	nom|sg|masc	NK	4
6	/	/	$,	/	_	--	5
7	Darum	Darum	PAV	darum	_	OP	12
8	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
9	nur	nur	ADV	nur	_	MO	10
10	Gedult	Geduld	NN	Geduld	acc|sg|fem	SB	8
11	zu	zu	PTKZU	zu	_	PM	12
12	fassen	fassen	VVINF	fassen	_	OC	8
13	.	.	SENT	.	_	--	12

1	Mich	Mich	PPER	ich	acc|pl|3	OA	2
2	Ungluͤckseligen	Unglückseligen	NN	Unglückseligen	nom|sg|neut	--	0
3	!	!	SENT	!	_	--	2

1	Da	Da	KOUS	da	_	MO	8
2	mein	mein	PPOSAT	mein	nom|sg|masc	NK	4
3	gefangner	Gefangener	NN	gefangener	*|*|*|pos	NK	4
4	Mund	Mund	NN	Mund	nom|sg|masc	SB	7
5	der	der	ART	d	gen|sg|fem	NK	6
6	Bande	Bande	NN	Bande	gen|sg|fem	AG	4
7	wird	wird	VAFIN	werden	sg|3|pres|ind	--	0
8	befreyt	befreit	VVPP	befreien	_	OC	7
9	/	/	$,	/	_	--	8
10	Fuͤhrt	Führt	VVFIN	Führt	sg|3|pres|ind	PAR	7
11	man	man	PIS	man	nom|sg|*	SB	10
12	den	den	ART	d	acc|sg|masc	NK	13
13	Vater	Vater	NN	Vater	acc|sg|masc	OA	10
14	hin	hin	PTKVZ	hin	_	MO	10
15	/	/	$,	/	_	--	14
16	in	in	APPR	in	_	MO	10
17	Band	Band	NN	Band	dat|sg|neut	NK	16
18	'	'	$'	'	_	--	17
19	/	/	$,	/	_	--	18
20	und	und	KON	und	_	CD	10
21	Dienstbarkeit	Dienstbarkeit	NN	Dienstbarkeit	dat|sg|fem	CJ	20
22	.	.	SENT	.	_	--	21

1	So	So	ADV	so	_	MO	2
2	jauchzet	jauchzet	VVIMP	jauchzen	sg|3|pres|ind	--	0
3	mein	mein	PPOSAT	mein	nom|sg|masc	NK	5
4	froͤlicher	fröhlicher	ADJA	fröhlicher	nom|sg|masc|pos	NK	5
5	Muth	Mut	NN	Mut	nom|sg|masc	SB	2
6	!	!	SENT	!	_	--	5

1	So	So	ADV	so	_	MO	2
2	fuͤhr	führe	VVFIN	führen	sg|1|pres|ind	--	0
3	ich	ich	PPER	ich	nom|sg|*|1	SB	2
4	die	die	ART	d	acc|sg|fem	NK	6
5	siegende	siegende	ADJA	siegende	acc|sg|fem|pos	NK	6
6	Zeichen	Zeichen	NN	Zeichen	acc|sg|fem	OA	2
7	Auff	auf	APPR	auf	_	MNR	6
8	Huͤgel	Hügel	NN	Hügel	acc|pl|masc	NK	7
9	von	von	APPR	von	_	PG	8
10	Leichen	Leichen	NN	Leiche	dat|pl|fem	NK	9
11	/	/	$,	/	_	--	10
12	Durch	Durch	APPR	durch	_	MO	2
13	Stroͤme	Ströme	NN	Strom	acc|pl|masc	NK	12
14	von	von	APPR	von	_	PG	13
15	Blut	Blut	NN	Blut	dat|sg|neut	NK	14
16	.	.	SENT	.	_	--	15

1	So	So	ADV	so	_	MO	2
2	jauchzet	jauchzet	VVIMP	jauchzen	sg|3|pres|ind	--	0
3	mein	mein	PPOSAT	mein	nom|sg|masc	NK	5
4	froͤlicher	fröhlicher	ADJA	fröhlicher	nom|sg|masc|pos	NK	5
5	Muth	Mut	NN	Mut	nom|sg|masc	SB	2
6	!	!	SENT	!	_	--	5

1	Ich	Ich	PPER	ich	nom|sg|*|1	SB	2
2	druͤcke	drücke	VVFIN	drücken	sg|1|pres|ind	--	0
3	Das	Das	ART	d	acc|sg|neut	NK	4
4	Gluͤcke	Glücke	NN	Glück	acc|sg|neut	OA	2
5	Dem	Dem	ART	d	dat|sg|neut	NK	7
6	Lidischen	Lidischen	NN	Lidischen	gen|pl|neut|pos	NK	7
7	Gluͤcke	Glücke	NN	Glück	gen|pl|neut	AG	4
8	/	/	$,	/	_	--	7
9	ErstickeDie	ErstickeDie	NN	ErstickeDie	acc|pl|masc|pos	NK	11
10	schaͤdliche	schädliche	ADJA	schädlich	nom|sg|neut|pos	NK	11
11	Bruth	Brut	NN	Brut	nom|sg|neut	OA	2
12	;	;	SENT	;	_	--	11

1	So	So	ADV	so	_	MO	2
2	jauchzet	jauchzet	VVIMP	jauchzen	sg|3|pres|ind	--	0
3	mein	mein	PPOSAT	mein	nom|sg|masc	NK	5
4	froͤlicher	fröhlicher	ADJA	fröhlicher	nom|sg|masc|pos	NK	5
5	Muth	Mut	NN	Mut	nom|sg|masc	SB	2
6	!	!	SENT	!	_	--	5

1	Hie	Hie	ADV	hier	nom|sg|fem	SB	2
2	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
3	die	die	ART	d	nom|sg|fem	NK	5
4	reichste	reichste	ADJA	reich	nom|sg|fem|sup	NK	5
5	Beute	Beute	NN	Beute	nom|sg|fem	PD	2
6	/	/	$,	/	_	--	5
7	Die	Die	ART	d	nom|pl|*	NK	8
8	wir	wir	PPER	wir	nom|pl|*|1	SB	17
9	in	in	APPR	in	_	MO	14
10	diesem	diesem	PDAT	dies	dat|sg|masc	NK	11
11	Streite	Streite	NN	Streit	dat|sg|masc	NK	9
12	Verhofften	Verhofften	NN	Verhofften	acc|pl|fem	OA	14
13	zu	zu	PTKZU	zu	_	PM	14
14	erlangen	erlangen	VVINF	erlangen	_	MO	17
15	/	/	$,	/	_	--	14
16	Wir	Wir	PPER	wir	nom|pl|*|1	SB	17
17	fuͤhren	führen	VVFIN	führen	pl|1|pres|ind	CJ	2
18	Crœsus	Krösus	NN	Krösus	dat|sg|masc	OA	17
19	selbst	selbst	PRF	selbst	_	MO	17
20	gefangen	gefangen	VVPP	fangen	_	MO	17
21	.	.	SENT	.	_	--	20

1	O	O	ITJ	O	_	--	2
2	unverhoffte	unverhoffte	ADJA	unverhofft	nom|sg|fem|pos	NK	3
3	Freude	Freude	NN	Freude	nom|sg|fem	--	0
4	!	!	SENT	!	_	--	3

1	So	So	ADV	so	_	MO	10
2	hat	hat	VAFIN	haben	sg|3|pres|ind	--	0
3	dich	dich	PPER	du	acc|sg|*|2	OA	10
4	/	/	$,	/	_	--	3
5	Crœsus	Krösus	NN	Krösus	dat|sg|masc	SB	2
6	,	,	$,	,	_	--	5
7	dann	dann	KON	dann	_	MO	10
8	Die	Die	ART	d	nom|sg|fem	NK	9
9	Abgrunds-Grufft	Abgrunds-Grufft	NN	Abgrunds-Grufft	nom|sg|fem	OA	10
10	verschlungen	verschlungen	VVPP	verschlingen	_	OC	2
11	/	/	$,	/	_	--	10
12	Die	Die	PDS	d	acc|sg|fem	OA	14
13	du	du	PPER	du	nom|sg|*|2	SB	15
14	gegraben	gegraben	VVPP	graben	_	OC	15
15	hast	hast	VAFIN	haben	sg|2|pres|ind	RC	9
16	/	/	$,	/	_	--	15
17	Und	Und	KON	und	_	CD	2
18	druͤckt	drückt	VVFIN	drücken	sg|3|pres|ind	RE	27
19	dich	dich	PPER	du	acc|sg|*|2	OA	18
20	selbst	selbst	PRF	selbst	_	MO	18
21	die	die	ART	d	acc|sg|fem	NK	22
22	Last	Last	NN	Last	acc|sg|fem	OA	18
23	Vom	Vom	APPRART	von	dat|sg|neut	MNR	22
24	stoltzen	stolzen	ADJA	stolz	dat|sg|neut|pos	NK	25
25	Hohn-Gebaͤude	Hohn-Gebäude	NN	Hohn-Gebäude	dat|sg|neut	NK	23
26	/	/	$,	/	_	--	25
27	Das	Das	KOUS	daß	nom|sg|neut	SP	29
28	du	du	PPER	du	nom|sg|*|2	SB	29
29	hast	hast	VAFIN	haben	sg|2|pres|ind	CJ	17
30	auffgefuͤhrt	aufgeführt	VVPP	aufführen	_	OC	29
31	.	.	SENT	.	_	--	30

1	Was	Was	PWS	was	acc|sg|neut	NK	2
2	Rasen	Rasen	NN	Rasen	acc|sg|masc	SB	3
3	kam	kam	VVFIN	kommen	sg|3|past|ind	--	0
4	dich	dich	PPER	du	acc|sg|*|2	DA	3
5	an	an	PTKVZ	an	_	SVP	3
6	/	/	$,	/	_	--	5
7	Daß	Dass	KOUS	Dass	_	CP	12
8	du	du	PPER	du	nom|sg|*|2	SB	12
9	nach	nach	APPR	nach	_	MO	12
10	Ungluͤck	Unglück	NN	Unglück	dat|sg|neut	NK	9
11	selbst	selbst	PRF	selbst	_	MNR	10
12	gerungen	gerungen	VVPP	ringen	_	MO	3
13	/	/	$,	/	_	--	12
14	Wie	Wie	KOUS	wie	_	MO	17
15	gantz	gantz	ADJA	ganz	_	PNC	16
16	Assyrien	Assyrien	NN	Assyrien	dat|pl|*	OA	17
17	gerebellirt	gerebellirt	VVPP	gerebellirt	_	MO	3
18	?	?	SENT	?	_	--	17

1	Du	Du	PPER	du	nom|sg|*|2	SB	2
2	hast	hast	VAFIN	haben	sg|2|pres|ind	--	0
3	sie	sie	PPER	Sie	nom|pl|*|3	SB	2
4	wider	wider	APPR	wider	_	MO	6
5	mich	mich	PPER	ich	acc|sg|*|1	NK	4
6	erreget	erreget	VVPP	erregen	sg|3|pres|ind	OC	2
7	/	/	$,	/	_	--	6
8	Und	Und	KON	und	_	CD	2
9	bist	bist	VVFIN	sein	sg|2|pres|ind	CJ	8
10	/	/	$,	/	_	--	9
11	wie	wie	KOUS	wie	_	MO	16
12	sie	sie	PPER	Sie	acc|pl|fem|3	OA	16
13	/	/	$,	/	_	--	12
14	auffs	aufs	APPRART	aufs	acc|sg|neut	MO	16
15	Haupt	Haupt	NN	Haupt	acc|sg|neut	NK	14
16	erleget	erleget	VVPP	erlegen	_	MO	22
17	/	/	$,	/	_	--	16
18	Mir	Mir	PPER	ich	dat|sg|*|1	DA	22
19	durch	durch	APPR	durch	_	MO	22
20	die	die	ART	d	acc|sg|fem	NK	21
21	Flucht	Flucht	NN	Flucht	acc|sg|fem	NK	19
22	entsprungen	entsprungen	VVPP	entspringen	_	OC	9
23	;	;	SENT	;	_	--	22

1	Jetzt	Jetzt	ADV	jetzt	_	MO	2
2	kommt	kommt	VVFIN	kommen	sg|3|pres|ind	--	0
3	und	und	KON	und	_	CD	2
4	folgt	folgt	VVFIN	folgen	sg|3|pres|ind	CJ	3
5	dir	dir	PPER	du	dat|sg|*|2	DA	4
6	naͤher	näher	ADJD	nah	comp	MO	4
7	nach	nach	APPR	nach	_	MO	4
8	Mein	Mein	PPOSAT	mein	dat|sg|neut	NK	7
9	und	und	KON	und	_	CD	8
10	der	der	ART	d	dat|sg|fem	NK	11
11	Goͤtter	Götter	NN	Gott	dat|sg|fem	CJ	9
12	Rach	Nach	ADV	nach	_	SVP	4
13	!	!	SENT	!	_	--	12

1	Ich	Ich	PPER	ich	nom|sg|*|1	SB	2
2	muß	muß	VMFIN	müssen	sg|1|pres|ind	--	0
3	den	den	ART	d	dat|pl|masc	NK	4
4	Goͤttern	Göttern	NN	Gott	dat|pl|masc	DA	5
5	weichen	weichen	VVINF	weichen	_	OC	2
6	.	.	SENT	.	_	--	5

1	Den	Den	ART	d	dat|pl|masc	NK	2
2	Goͤttern	Göttern	NN	Gott	dat|pl|masc	OA	7
3	/	/	$,	/	_	--	2
4	und	und	KON	und	_	CD	2
5	auch	auch	ADV	auch	_	MO	6
6	mir	mir	PPER	ich	dat|sg|*|1	CJ	4
7	imgleichen	ingleichen	ADV	ingleichen	_	--	0
8	.	.	SENT	.	_	--	7

1	Nicht	Nicht	PTKNEG	nicht	_	NG	4
2	dir	dir	PPER	du	dat|sg|*|2	DA	4
3	/	/	$,	/	_	--	2
4	nur	nur	ADV	nur	_	MO	6
5	deinem	deinem	PPOSAT	dein	dat|sg|masc	NK	6
6	Gluͤcke	Glücke	NN	Glück	dat|sg|masc	--	0
7	.	.	SENT	.	_	--	6

1	Schau	Schau	NN	Schau	nom|sg|masc	--	0
2	deine	deine	PPOSAT	dein	acc|sg|fem	NK	3
3	Band	Band	NN	Band	acc|sg|neut	PD	1
4	'	'	$'	'	_	--	3
5	und	und	KON	und	_	CD	1
6	Stricke	Stricke	NN	Strick	acc|pl|masc	CJ	5
7	.	.	SENT	.	_	--	6

1	Ich	Ich	PPER	ich	nom|sg|*|1	SB	2
2	bin	bin	VAFIN	sein	sg|1|pres|ind	--	0
3	ein	ein	ART	ein	nom|sg|masc	NK	4
4	Koͤnig	König	NN	König	nom|sg|masc	PD	2
5	.	.	SENT	.	_	--	4

1	Ja	Ja	PTKANT	ja	_	DM	13
2	/	/	$,	/	_	--	1
3	dennoch	dennoch	ADV	dennoch	_	MO	5
4	mein	mein	PPOSAT	mein	nom|sg|masc	NK	5
5	Feind	Feind	NN	Feind	nom|sg|masc	SB	13
6	/	/	$,	/	_	--	5
7	Der	Der	PRELS	d	nom|sg|masc	NK	12
8	es	es	PPER	es	acc|sg|neut|3	OA	12
9	mit	mit	APPR	mit	_	MO	12
10	mir	mir	PPER	ich	dat|sg|*|1	NK	9
11	nicht	nicht	PTKNEG	nicht	_	NG	12
12	redlich	redlich	ADJD	redlich	_	RC	5
13	hat	hat	VAFIN	haben	sg|3|pres|ind	--	0
14	gemeint	gemeint	VVPP	meinen	_	OC	13
15	.	.	SENT	.	_	--	14

1	Der	Der	ART	d	nom|sg|masc	NK	3
2	stoltze	stolze	ADJA	stolz	nom|sg|neut|pos	NK	3
3	Hochmuth	Hochmut	NN	Hochmut	nom|sg|neut	SB	4
4	nimmt	nimmt	VVFIN	nehmen	sg|3|pres|ind	--	0
5	dich	dich	PPER	du	acc|sg|*|2	DA	4
6	ein	ein	PTKVZ	ein	_	SVP	4
7	/	/	$,	/	_	--	6
8	Halt	Halt	VVIMP	halten	nom|sg|masc	PAR	4
9	Koͤnige	Könige	NN	König	nom|sg|masc	PNC	10
10	Koͤniglich	Königlich	ADJD	königlich	nom|sg|masc	OA	8
11	/	/	$,	/	_	--	10
12	wiltu	wiltu	NE	wiltu	pos	CJ	10
13	ein	ein	ART	ein	nom|sg|masc	NK	14
14	Koͤnig	König	NN	König	nom|sg|masc	PD	15
15	seyn	sein	VAINF	sein	_	OC	4
16	.	.	SENT	.	_	--	15

1	Der	Der	ART	d	nom|sg|masc	NK	2
2	Himmel	Himmel	NN	Himmel	nom|sg|masc	SB	3
3	machet	macht	VVFIN	machen	sg|3|pres|ind	--	0
4	mich	mich	PPER	ich	acc|sg|*|1	OA	3
5	zum	zum	APPRART	zum	dat|sg|masc	MO	3
6	Uberwinder	Uberwinder	NN	Uberwinder	dat|sg|masc	NK	5
7	.	.	SENT	.	_	--	6

1	Wiltu	Wiltu	NE	Wiltu	nom|sg|neut	--	0
2	im	im	APPRART	im	dat|sg|neut	MO	8
3	Gluͤck	Glück	NN	Glück	dat|sg|neut	NK	2
4	so	so	ADV	so	_	MO	5
5	hoch	hoch	ADJD	hoch	pos	MO	8
6	den	den	ART	d	acc|sg|masc	NK	7
7	Bogen	Bogen	NN	Bogen	acc|sg|masc	OA	8
8	spannen	spannen	VVFIN	spannen	_	NK	10
9	/	/	$,	/	_	--	8
10	Machs	Machs	NE	Machs	acc|sg|masc	--	0
11	tu	tu	PPER	du	_	NK	12
12	dich	dich	PPER	du	acc|sg|*|2	NK	14
13	selber	selber	PRF	selber	_	MNR	12
14	zum	zum	APPRART	zum	dat|sg|neut	MNR	10
15	Tyrannen	Tyrannen	NN	Tyrann	dat|sg|neut	NK	14
16	.	.	SENT	.	_	--	15

1	Sclav	Sclav	NE	Sclav	nom|sg|neut	SB	3
2	/	/	$,	/	_	--	1
3	rede	rede	VVFIN	reden	sg|3|pres|subj	--	0
4	was	was	PWS	was	nom|sg|neut	OA	3
5	gelinder	gelinder	ADV	gelinder	_	MO	3
6	;	;	SENT	;	_	--	5

1	Weg	Weg	NN	Weg	nom|sg|masc	--	0
2	!	!	SENT	!	_	--	1

1	fuͤhret	führet	VVFIN	führen	sg|3|pres|ind	--	0
2	ihn	ihn	PPER	er	acc|sg|masc|3	OA	1
3	hinein	hinein	PTKVZ	hinein	_	SVP	1
4	.	.	SENT	.	_	--	3

1	Halt	Halt	VVIMP	halten	acc|sg|masc	--	0
2	Koͤnige	Könige	NN	König	acc|sg|masc	OA	1
3	Koͤniglich	Königlich	ADJD	königlich	nom|sg|masc	NK	2
4	/	/	$,	/	_	--	3
5	wiltu	wiltu	NE	wiltu	sg|3|pres|ind	CJ	3
6	ein	ein	ART	ein	nom|sg|masc	NK	7
7	Koͤnig	König	NN	König	nom|sg|masc	PD	8
8	seyn	sein	VAINF	sein	_	RC	3
9	.	.	SENT	.	_	--	8

1	So	So	ADV	so	_	MO	2
2	jauchzet	jauchzet	VVFIN	jauchzen	sg|3|pres|ind	--	0
3	/	/	$,	/	_	--	2

1	Kleine	Kleine	ADJA	klein	nom|sg|fem|pos	NK	2
2	Voͤglein	Vöglein	NN	Vöglein	nom|sg|masc	SB	5
3	die	die	PRELS	d	acc|sg|fem	NK	2
4	ihr	ihr	PPER	Ihr	dat|sg|fem|3	DA	5
5	springet	springet	VVFIN	springet	sg|3|pres|ind	--	0
6	/	/	$,	/	_	--	5
7	Zwitschert	Zwitschert	NE	Zwitschert	_	PAR	5
8	/	/	$,	/	_	--	7
9	singet	singet	VVFIN	singen	_	CJ	7
10	/	/	$,	/	_	--	9
11	Auff	auf	APPR	auf	_	MO	5
12	den	den	ART	d	dat|pl|masc	NK	13
13	Straͤuchen	Sträuchen	NN	Sträuchen	dat|pl|masc	NK	11
14	Hie	Hie	ADV	hier	nom|sg|fem	NK	13
15	und	und	KON	und	_	CD	14
16	da	da	ADV	da	_	SVP	5
17	!	!	SENT	!	_	--	16

1	Kleine	Kleine	ADJA	klein	nom|pl|masc|pos	NK	2
2	Voͤglein	Vöglein	NN	Vöglein	nom|sg|neut	SB	6
3	/	/	$,	/	_	--	2
4	dir	dir	PPER	du	dat|sg|*|2	DA	6
5	ihr	ihr	PPER	Ihr	dat|sg|fem|3	DA	6
6	springet	springet	VVFIN	springet	sg|3|pres|ind	--	0
7	/	/	$,	/	_	--	6
8	Zwitschert	Zwitschert	NE	Zwitschert	_	PAR	6
9	/	/	$,	/	_	--	8
10	singet	singet	VVFIN	singen	_	CJ	8
11	/	/	$,	/	_	--	10
12	Auff	auf	APPR	auf	_	MO	6
13	den	den	ART	d	dat|pl|masc	NK	14
14	Straͤuchen	Sträuchen	NN	Sträuchen	dat|pl|masc	NK	12
15	Hie	Hie	ADV	hier	nom|sg|fem	NK	14
16	und	und	KON	und	_	CD	15
17	da	da	ADV	da	_	SVP	6
18	!	!	SENT	!	_	--	17

1	Fliehet	Fliehet	VVFIN	Fliehet	sg|3|pres|ind	MO	5
2	fuͤr	für	APPR	für	_	MO	5
3	des	des	ART	d	gen|sg|masc	NK	4
