

1	III.	III.	CARD	3	*|*|*	PNC	2
18	daß	daß	KOUS	daß	_	CP	41
19	SIE	sie	PPER	Sie	nom|pl|*|3	SB	41
20	SICH	sich	PRF	er|es|sie	acc|pl|3	OA	40
21	immer	immer	ADV	immer	_	MO	22
22	mehr	mehr	ADV	mehr	_	MO	40
23	und	und	KON	und	_	CD	22
24	mehr	mehr	ADV	mehr	_	CJ	23
25	mit	mit	APPR	mit	_	MO	40
26	stillem	stillem	ADJA	stillem	dat|sg|masc|pos	NK	31
27	/	/	$,	/	_	--	26
28	einfaͤltigen	einfältigen	ADJA	einfältig	dat|sg|fem|pos	NK	31
29	und	und	KON	und	_	CD	28
30	gehorsamen	gehorsamen	ADJA	gehorsam	dat|pl|fem|pos	CJ	29
31	Hertzen	Herzen	NN	Herz	dat|pl|fem	NK	25
32	demselben	demselben	PDS	derselbe	acc|sg|masc|pos	NK	33
33	unterwarff	unterwarf	VVFIN	unterwarf	acc|sg|masc	CJ	40
34	/	/	$,	/	_	--	33
35	und	und	KON	und	_	JU	40
36	immer	immer	ADV	immer	_	MO	37
37	fleissiger	fleißiger	ADJA	fleißig	comp	MO	40
38	und	und	KON	und	_	CD	37
39	treuer	treuer	ADJA	treu	comp	CJ	38
40	erfunden	erfunden	VVPP	erfinden	_	OC	41
41	ward	wurde	VAFIN	werden	sg|3|past|ind	OC	2
42	/	/	$,	/	_	--	41
43	dem	dem	ART	d	dat|sg|masc	NK	44
44	HErrn	Herrn	NN	Herr	dat|sg|masc	DA	46
45	zu	zu	PTKZU	zu	_	PM	46
46	dienen	dienen	VVINF	dienen	_	OC	40
47	in	in	APPR	in	_	MO	46
48	innern	inneren	ADJA	innere	dat|sg|masc|pos	NK	49
49	Tempel	Tempel	NN	Tempel	dat|sg|masc	NK	47
50	Tag	Tag	NN	Tag	acc|sg|masc	NK	44
51	und	und	KON	und	_	CD	50
52	Nacht	Nacht	NN	Nacht	acc|sg|fem	CJ	51
53	.	.	SENT	.	_	--	52

1	Und	Und	KON	und	_	JU	3
2	vielleicht	vielleicht	ADV	vielleicht	_	MO	3
3	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
4	auch	auch	ADV	auch	_	MO	5
5	jetzt	jetzt	ADV	jetzt	_	MO	16
6	manche	manche	PIAT	manch	acc|pl|neut	NK	7
7	Seele	Seele	NN	Seele	acc|sg|fem	SB	3
8	unter	unter	APPR	unter	_	MO	16
9	uns	uns	PPER	wir	dat|pl|*|1	NK	8
10	/	/	$,	/	_	--	9
11	die	die	PRELS	d	nom|sg|fem	NK	20
12	schon	schon	ADV	schon	_	MO	14
13	/	/	$,	/	_	--	12
14	seither	seither	ADV	seither	_	MO	17
15	dieses	dieses	PDAT	dies	nom|sg|neut	NK	17
16	geredet	geredet	VVPP	reden	_	OC	17
17	worden	worden	VAPP	werden	_	OC	3
18	/	/	$,	/	_	--	17
19	manchen	manchen	PIAT	manch	acc|sg|masc	NK	20
20	Strahl	Strahl	NN	Strahl	acc|sg|masc	SB	44
21	und	und	KON	und	_	CD	20
22	Regung	Regung	NN	Regung	acc|sg|fem	CJ	21
23	aus	aus	APPR	aus	_	MNR	20
24	JESU	JESU	NE	Jesus	dat|sg|neut	NK	23
25	/	/	$,	/	_	--	24
26	dem	dem	ART	d	dat|sg|masc	NK	28
27	warhafftigen	wahrhaftigen	ADJA	wahrhaftigen	dat|sg|neut|pos	NK	28
28	Licht	Licht	NN	Licht	dat|sg|neut	DA	34
29	/	/	$,	/	_	--	28
30	welches	welches	PRELS	welch	nom|sg|neut	SB	34
31	einen	einen	ART	ein	acc|sg|masc	NK	33
32	jeglichen	jeglichen	PIAT	jeglicher	acc|sg|masc|pos	NK	33
33	Menschen	Menschen	NN	Mensch	acc|sg|masc	OA	34
34	erleuchtet	erleuchtet	VVPP	erleuchten	_	OC	44
35	/	/	$,	/	_	--	34
36	der	der	PRELS	d	gen|sg|fem	SB	40
37	in	in	APPR	in	_	MO	40
38	diese	diese	PDAT	dies	acc|sg|fem	NK	39
39	Welt	Welt	NN	Welt	acc|sg|fem	NK	37
40	kommt	kommt	VVFIN	kommen	sg|3|pres|ind	RC	33
41	/	/	$,	/	_	--	40
42	inwendig	inwendig	ADJD	inwendig	pos	MO	43
43	gefuͤhlet	gefühlt	VVPP	fühlen	_	CJ	34
44	hat	hat	VAFIN	haben	sg|3|pres|ind	RC	15
45	.	.	SENT	.	_	--	44

1	Die	Die	ART	d	nom|sg|fem	NK	2
2	Leuchte	Leuchte	ADJA	Leuchte	nom|sg|fem	SB	5
3	des	des	ART	d	gen|sg|masc	NK	4
4	HErrn	Herrn	NN	Herr	gen|sg|masc	AG	2
5	gehet	gehet	VVFIN	gehen	sg|3|pres|ind	--	0
6	durchs	durchs	APPRART	durchs	acc|sg|neut	MO	5
7	gantze	ganze	ADJA	ganz	acc|sg|neut|pos	NK	8
8	Hertz	Herz	NN	Herz	acc|sg|neut	NK	6
9	/	/	$,	/	_	--	8
10	und	und	KON	und	_	CD	5
11	erforschet	erforschet	VVFIN	erforschet	sg|3|pres|ind	CJ	10
12	unsere	unsere	PPOSAT	unser	acc|sg|fem	NK	14
13	innerste	innerste	ADJA	innerste	nom|sg|fem|sup	NK	14
14	Theile	Teile	NN	Teil	acc|pl|neut	OA	11
15	/	/	$,	/	_	--	14
16	wann	wann	KOUS	wann	_	MO	21
17	wir	wir	PPER	wir	nom|pl|*|1	SB	21
18	nur	nur	ADV	nur	_	MO	19
19	darauff	darauf	PAV	darauf	_	MO	20
20	mercken	merken	VVINF	merken	_	OC	21
21	wolten	wollten	VMFIN	wollen	pl|3|past|ind	RC	14
22	/	/	$,	/	_	--	21

1	Und	Und	KON	und	_	JU	7
2	je	je	ADV	je	_	MO	3
3	mehr	mehr	ADV	mehr	_	MO	6
4	IHR	ihr	PPOSAT	ihr	nom|sg|masc	NK	5
5	Platz	Platz	NN	Platz	acc|sg|masc	OA	6
6	gegeben	gegeben	VVPP	geben	_	OC	7
7	wird	wird	VAFIN	werden	sg|3|pres|ind	--	0
8	/	/	$,	/	_	--	7
9	je	je	KOUS	je	_	MO	10
10	mehr	mehr	PPER	ich	_	MO	12
11	SIE	sie	PPER	Sie	nom|sg|fem|3	SB	12
12	herfuͤrsucht	herfürsucht	VVPP	herfürsucht	sg|3|pres|ind	CJ	7
13	/	/	$,	/	_	--	12
14	und	und	KON	und	_	CD	12
15	alle	alle	PIAT	all	acc|pl|fem	NK	16
16	Befleckungen	Befleckungen	NN	Befleckungen	acc|pl|fem	OA	22
17	des	des	ART	d	gen|sg|masc	NK	18
18	Fleisches	Fleisches	NN	Fleisch	gen|sg|masc	AG	16
19	und	und	KON	und	_	CD	18
20	des	des	ART	d	gen|sg|masc	NK	21
21	Geistes	Geistes	NN	Geist	gen|sg|masc	CJ	19
22	entdecket	entdecket	VVPP	entdecken	sg|3|pres|ind	CJ	14
23	/	/	$,	/	_	--	22
24	aus	aus	APPR	aus	_	MO	32
25	hertzlicher	hertzlicher	ADJA	hertzlicher	dat|sg|fem|pos	NK	26
26	Liebe	Liebe	NN	Liebe	dat|sg|fem	NK	24
27	/	/	$,	/	_	--	26
28	um	um	KOUI	um	_	CP	32
29	uns	uns	PPER	wir	dat|pl|*|1	OA	32
30	wieder	wieder	ADV	wieder	_	MO	32
31	zu	zu	APPR	zu	_	PM	32
32	reinen	reinen	ADJA	rein	_	OC	22
33	und	und	KON	und	_	CD	32
34	heiligen	heiligen	ADJA	heilig	dat|pl|neut|pos	NK	35
35	Lichtes-Kindern	Lichtes-Kindern	NN	Lichtes-Kindern	dat|pl|neut	OA	37
36	zu	zu	PTKZU	zu	_	PM	37
37	machen	machen	VVINF	machen	_	CJ	33
38	.	.	SENT	.	_	--	37

1	O	O	ITJ	O	_	DM	15
2	so	so	ADV	so	_	MO	3
3	lasst	lasst	VVPP	lasst	sg|2|pres|ind	--	0
4	uns	uns	PRF	wir	acc|pl|*|1	OA	3
5	ja	ja	ADV	ja	_	MO	3
6	der	der	ART	d	dat|sg|fem	NK	8
7	einleuchtenden	einleuchtenden	ADJA	einleuchtenden	dat|sg|fem|pos	NK	8
8	Gnade	Gnade	NN	Gnade	dat|sg|fem	DA	12
9	des	des	ART	d	gen|sg|masc	NK	10
10	Lichtes	Lichtes	NN	Lichtes	gen|sg|masc	AG	8
11	JEsu	JEsu	NE	Jesus	nom|sg|*	NK	10
12	folgen	folgen	VVINF	folgen	_	OC	3
13	/	/	$,	/	_	--	12
14	und	und	KON	und	_	CD	12
15	gehorsam	gehorsam	ADJA	gehorsam	pos	PD	16
16	seyn	sein	VAINF	sein	_	CJ	14
17	!	!	SENT	!	_	--	16

1	Jetzt	Jetzt	ADV	jetzt	_	MO	2
2	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
3	die	die	ART	d	nom|sg|fem	NK	5
4	angenehme	angenehme	ADJA	angenehm	nom|sg|fem|pos	NK	5
5	Zeit	Zeit	NN	Zeit	nom|sg|fem	PD	2
6	;	;	SENT	;	_	--	5

1	Wir	Wir	PPER	wir	nom|pl|*|1	SB	2
2	haben	haben	VAFIN	haben	pl|1|pres|ind	--	0
3	keine	keine	PIAT	kein	acc|sg|fem	NK	4
4	Versicherung	Versicherung	NN	Versicherung	acc|sg|fem	OA	2
5	/	/	$,	/	_	--	4
6	ob	ob	KOUS	ob	_	CP	13
7	wir	wir	PPER	wir	nom|pl|*|1	SB	13
8	biß	bis	APPR	bis	_	AC	9
9	auff	auf	APPR	auf	_	MO	12
10	den	den	ART	d	acc|sg|masc	NK	11
11	Abend	Abend	NN	Abend	acc|sg|masc	NK	9
12	leben	leben	VVINF	leben	_	OC	13
13	werden	werden	VAFIN	werden	pl|3|pres|ind	OC	4
14	.	.	SENT	.	_	--	13

1	Ach	Ach	ITJ	ach	_	NK	0
2	!	!	SENT	!	_	--	0

1	treuer	treuer	ADJA	treu	gen|pl|masc|pos	NK	2
2	Vater	Vater	NN	Vater	nom|sg|masc	--	0
3	!	!	SENT	!	_	--	2

1	laß	laß	VVIMP	lassen	sg|3|past|ind	MO	5
2	keinen	keinen	PIAT	kein	acc|sg|masc	NK	12
3	unter	unter	APPR	unter	_	MO	5
4	uns	uns	PPER	wir	dat|pl|*|1	NK	3
5	seyn	sein	VAINF	sein	_	CJ	12
6	/	/	$,	/	_	--	5
7	der	der	PRELS	d	gen|sg|fem	SB	24
8	ein	ein	ART	ein	acc|sg|neut	NK	12
9	arges	arges	ADJA	arges	acc|sg|neut|pos	NK	12
10	und	und	KON	und	_	CD	9
11	unglaubiges	unglaubiges	ADJA	unglaubiges	nom|sg|neut|pos	CJ	10
12	Hertz	Herz	NN	Herz	nom|sg|neut	SB	13
13	habe	habe	VAFIN	haben	sg|3|pres|subj	--	0
14	/	/	$,	/	_	--	13
15	bey	bei	APPR	bei	_	MO	23
16	welchem	welchem	PRELS	welch	dat|sg|masc	NK	15
17	der	der	ART	d	nom|sg|masc	NK	18
18	GOtt	Gott	NE	Gott	nom|sg|masc	SB	1
19	dieser	dieser	PDAT	dies	gen|sg|fem	NK	20
20	Welt	Welt	NN	Welt	gen|sg|fem	AG	18
21	die	die	ART	d	acc|sg|fem	NK	22
22	Sinne	Sinne	NN	Sinn	acc|pl|masc	OA	23
23	verblendet	verblendet	VVPP	verblendet	_	OC	24
24	hat	hat	VAFIN	haben	sg|3|pres|ind	CJ	13
25	/	/	$,	/	_	--	24
26	daß	daß	KOUS	daß	_	CP	29
27	er	er	PPER	er	nom|sg|masc|3	SB	29
28	nicht	nicht	PTKNEG	nicht	_	NG	29
29	sehe	sehe	VVFIN	sehen	sg|3|pres|subj	OC	23
30	das	das	ART	d	acc|sg|neut	NK	32
31	helle	helle	ADJA	hell	nom|sg|neut|pos	NK	32
32	Licht	Licht	NN	Licht	nom|sg|neut	OA	29
33	des	des	ART	d	gen|sg|masc	NK	34
34	Evangelii	Evangelii	NN	Evangelii	gen|sg|masc	AG	32
35	von	von	APPR	von	_	MNR	32
36	der	der	ART	d	dat|sg|fem	NK	37
37	Klarheit	Klarheit	NN	Klarheit	dat|sg|fem	NK	35
38	CHristi	CHristi	NE	Christus	nom|sg|neut	NK	37
39	/	/	$,	/	_	--	38

1	Ja	Ja	ITJ	ja	_	RS	3
2	/	/	$,	/	_	--	1
3	JEsu	JEsu	NE	Jesus	_	--	0
4	!	!	SENT	!	_	--	3

1	mache	mache	VVFIN	machen	sg|3|pres|subj	--	0
2	zu	zu	APPR	zu	_	MO	1
3	Schanden	Schanden	NN	Schande	dat|pl|fem	NK	2
4	das	das	ART	d	acc|sg|neut	NK	6
5	falsche	falsche	ADJA	falsch	acc|sg|neut|pos	NK	6
6	Licht	Licht	NN	Licht	acc|sg|neut	OA	1
7	der	der	ART	d	gen|sg|fem	NK	8
8	Vernunfft	Vernunft	NN	Vernunft	gen|sg|fem	AG	6
9	/	/	$,	/	_	--	8
10	und	und	KON	und	_	CD	1
11	zerstoͤre	zerstöre	VVFIN	zerstören	sg|3|pres|subj	CJ	10
12	selbst	selbst	PRF	selbst	_	MO	11
13	in	in	APPR	in	_	MO	11
14	uns	uns	PRF	wir	dat|pl|*|1	NK	13
15	die	die	ART	d	acc|sg|fem	NK	17
16	fleischliche	fleischliche	ADJA	fleischliche	acc|sg|fem|pos	NK	17
17	Anschlaͤge	Anschläge	NN	Anschlag	acc|pl|masc	OA	11
18	und	und	KON	und	_	CD	17
19	alle	alle	PIAT	all	acc|pl|fem	NK	20
20	Hoͤhen	Höhen	NN	Höhe	acc|pl|fem	CJ	18
21	/	/	$,	/	_	--	20
22	die	die	PRELS	d	nom|pl|masc	SB	24
23	sich	sich	PRF	er|es|sie	acc|sg|3	OA	24
24	erheben	erheben	VVFIN	erheben	pl|3|pres|ind	RC	17
25	wieder	wieder	ADV	wieder	_	MO	24
26	die	die	ART	d	nom|sg|fem	NK	28
27	einfaͤltige	einfältige	ADJA	einfältige	nom|sg|fem|pos	NK	28
28	Erkaͤntnuß	Erkäntnuß	NN	Erkäntnuß	nom|sg|fem	OA	24
29	GOttes	Gottes	NE	Gott	gen|sg|masc	AG	28
30	/	/	$,	/	_	--	29

1	bringe	bringe	VVFIN	bringen	sg|3|pres|subj	--	0
2	uns	uns	PPER	wir	acc|pl|*|1	OA	1
3	alle	alle	PIS	all	acc|pl|*	NK	2
4	zum	zum	APPRART	zum	dat|sg|neut	MO	1
5	wahren	wahren	ADJA	wahr	dat|sg|neut|pos	NK	6
6	Licht	Licht	NN	Licht	dat|sg|neut	NK	4
7	/	/	$,	/	_	--	6
8	du	du	PPER	du	nom|sg|*|2	SB	4
9	/	/	$,	/	_	--	8
10	du	du	PPER	du	nom|sg|*|2	SB	4
11	unser	unser	PPOSAT	unser	nom|sg|neut	NK	12
12	Licht	Licht	NN	Licht	nom|sg|neut	SB	1
13	/	/	$,	/	_	--	12
14	Amen	Amen	ITJ	Amen	nom|sg|neut	CJ	12
15	!	!	SENT	!	_	--	14

1	Naͤchst	Nächst	VVFIN	Nächst	sg|3|pres|ind	MO	3
2	diesem	diesem	PDS	dies	dat|sg|masc	SB	1
3	wollen	wollen	VMFIN	wollen	pl|1|pres|ind	--	0
4	wir	wir	PPER	wir	nom|pl|*|1	SB	3
5	nun	nun	ADV	nun	_	MO	3
6	auch	auch	ADV	auch	_	MO	9
7	den	den	ART	d	acc|sg|masc	NK	9
8	seligen	seligen	ADJA	selig	acc|sg|masc|pos	NK	9
9	Liebes-Zug	Liebes-Zug	NN	Liebes-Zug	acc|sg|masc	OA	20
10	JEsu	JEsu	NE	Jesus	nom|sg|masc	NK	9
11	etwas	etwas	ADV	etwas	_	MO	12
12	genauer	genauer	ADJD	genau	comp	MO	20
13	und	und	KON	und	_	CD	12
14	eigentlicher	eigentlicher	ADJD	eigentlich	comp	CJ	13
15	untersuchen	untersuchen	VVINF	untersuchen	pl|3|pres|ind	MO	20
16	bey	bei	APPR	bei	_	MO	20
17	dem	dem	ART	d	dat|sg|neut	NK	18
18	Wort	Wort	NN	Wort	dat|sg|neut	NK	16
19	/	/	$,	/	_	--	18
20	ZIEHEN	ziehen	VVFIN	ziehen	_	OC	3
21	.	.	SENT	.	_	--	20

1	Der	Der	ART	d	nom|sg|masc	NK	2
2	Heyland	Heiland	NN	Heiland	nom|sg|masc	SB	3
3	spricht	spricht	VVFIN	sprechen	sg|3|pres|ind	--	0
4	:	:	SENT	:	_	--	3

1	Darum	Darum	PAV	darum	_	PAR	3
2	/	/	$,	/	_	--	1
3	[	[	$(	[	_	--	0
4	.	.	SENT	.	_	--	3
5	.	.	SENT	.	_	UC	4
6	.	.	SENT	.	_	UC	5
7	]	]	$(	]	_	--	0
8	,	,	$,	,	_	--	7
9	eben	eben	ADV	eben	_	MO	10
10	darum	darum	PAV	darum	_	--	0
11	/	/	$,	/	_	--	10
12	weil	weil	KOUS	weil	_	CP	22
13	ich	ich	PPER	ich	nom|sg|*|1	SB	22
14	dich	dich	PPER	du	acc|sg|*|2	OA	21
15	Israel	Israel	NE	Israel	acc|sg|neut	SB	22
16	mit	mit	APPR	mit	_	MO	21
17	der	der	ART	d	dat|sg|fem	NK	18
18	Liebe	Liebe	NN	Liebe	dat|sg|fem	NK	16
19	der	der	ART	d	gen|sg|fem	NK	20
20	Ewigkeit	Ewigkeit	NN	Ewigkeit	gen|sg|fem	AG	18
21	geliebet	geliebt	VVPP	lieben	_	OC	22
22	habe	habe	VAFIN	haben	sg|3|pres|subj	RE	10
23	/	/	$,	/	_	--	22
24	darum	darum	PAV	darum	_	MNR	18
25	habe	habe	VAFIN	haben	sg|1|pres|ind	RE	24
26	ich	ich	PPER	ich	nom|sg|*|1	SB	25
27	dich	dich	PPER	du	acc|sg|1	OA	30
28	zu	zu	APPR	zu	_	MO	30
29	mir	mir	PPER	ich	dat|sg|*|1	NK	28
30	gezogen	gezogen	VVPP	ziehen	_	OC	25
31	.	.	SENT	.	_	--	30

1	An	An	FM	an	_	MO	3
2	Statt	Statt	PTKVZ	statt	acc|sg|fem	NK	1
3	ZIEHEN	ziehen	VVINF	ziehen	_	SB	4
4	stehet	stehet	VVFIN	stehen	sg|3|pres|ind	--	0
5	in	in	APPR	in	_	MO	4
6	dem	dem	ART	d	dat|sg|neut	NK	7
7	Hebraͤischen	Hebräischen	ADJA	hebräisch	dat|sg|neut	NK	5
8	das	das	ART	d	nom|sg|neut	NK	9
9	Wort	Wort	NN	Wort	nom|sg|neut	SB	4
10	[	[	$(	[	nom|sg|*	NK	9
11	.	.	SENT	.	_	--	10
12	.	.	SENT	.	_	--	11
13	.	.	SENT	.	_	UC	12
14	]	]	$(	]	_	--	0
15	,	,	$,	,	_	--	14
16	welches	welches	PRELS	welch	nom|sg|neut	SB	24
17	nach	nach	APPR	nach	_	MO	23
18	unterschiedlichen	unterschiedlichen	ADJA	unterschiedlich	dat|pl|masc|pos	NK	19
19	Umstaͤnden	Umständen	NN	Umstand	dat|pl|masc	NK	17
20	auff	auf	APPR	auf	_	MO	23
21	unterschiedliche	unterschiedliche	ADJA	unterschiedlich	acc|sg|fem|pos	NK	22
22	Art	Art	NN	Art	acc|sg|fem	NK	20
23	gebraucht	gebraucht	VVPP	brauchen|gebrauchen	_	OC	24
24	wird	wird	VAFIN	werden	sg|3|pres|ind	RC	9
25	.	.	SENT	.	_	--	24

1	Zuweilen	Zuweilen	ADV	zuweilen	_	MO	12
2	/	/	$,	/	_	--	1
3	wann	wann	KOUS	wann	_	MO	10
4	es	es	PPER	es	nom|sg|neut|3	EP	10
5	nemlich	nämlich	ADV	nämlich	_	MO	10
6	auff	auf	APPR	auf	_	OP	10
7	Zeit	Zeit	NN	Zeit	acc|sg|fem	NK	6
8	und	und	KON	und	_	CD	7
9	Stunde	Stunde	NN	Stunde	acc|sg|fem	CJ	8
10	ankommt	ankommt	VVFIN	ankommen	sg|3|pres|ind	MO	12
11	/	/	$,	/	_	--	10
12	heisset	heisset	VVFIN	heißen	sg|3|pres|ind	--	0
13	es	es	PPER	es	nom|sg|neut|3	SB	12
14	so	so	ADV	so	_	MO	15
15	viel	viel	ADV	viel	*|*|*	MO	12
16	/	/	$,	/	_	--	15
17	als	als	KOKOM	als	_	MO	18
18	verziehen	verziehen	VVPP	verzeihen	_	CC	14
19	oder	oder	KON	oder	_	CD	18
20	auffschieben	aufschieben	VVINF	aufschieben	_	CJ	19
21	/	/	$,	/	_	--	20
22	vid	fit	ADJD	fit	pos	SVP	12
23	.	.	SENT	.	_	--	22

1	Bißweilen	Bißweilen	ADV	Bißweilen	_	MO	2
2	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
3	es	es	PPER	es	nom|sg|neut|3	SB	2
4	so	so	ADV	so	_	MO	5
5	viel	viel	ADV	viel	*|*|*	PD	2
6	/	/	$,	/	_	--	5
7	als	als	KOUS	als	_	CM	20
8	einen	einen	PIS	ein	acc|sg|masc	NK	7
9	heimlich	heimlich	ADJD	heimlich	pos	MO	19
10	und	und	KON	und	_	CD	9
11	da	da	KOUS	da	_	MO	22
12	er	er	PPER	er	nom|sg|masc|3	SB	22
13	es	es	PPER	es	acc|sg|neut|3	OA	22
14	nicht	nicht	PTKNEG	nicht	_	NG	22
15	mercket	Merced	VVIMP	merken	nom|sg|*	OA	22
16	/	/	$,	/	_	--	15
17	worauff	worauf	PWAVREL	worauf	_	MO	22
18	es	es	PPER	es	nom|sg|neut|3	SB	20
19	angesehen	angesehen	VVPP	ansehen	_	OC	20
20	sey	sei	VAFIN	sein	sg|3|pres|subj	CC	4
21	/	/	$,	/	_	--	20
22	locken	locken	VVINF	locken	_	CJ	10
23	/	/	$,	/	_	--	22
24	oder	oder	KON	oder	_	CD	22
25	mit	mit	APPR	mit	_	MO	28
26	suͤssen	süßen	ADJA	süß	dat|pl|neut|pos	NK	27
27	Worten	Worten	NN	Wort	dat|pl|neut	NK	25
28	bewegen	bewegen	VVINF	bewegen	pl|3|pres|ind	CJ	24
29	und	und	KON	und	_	CD	28
30	uͤberreden	überreden	VVINF	überreden	_	CJ	29
31	/	/	$,	/	_	--	30
32	vid	fit	ADJD	fit	pos	MO	22
33	.	.	SENT	.	_	--	32

1	Bißweilen	Bißweilen	ADV	Bißweilen	_	MO	2
2	bedeutet	bedeutet	VVFIN	bedeuten	sg|3|pres|ind	--	0
3	es	es	PPER	es	nom|sg|neut|3	SB	2
4	so	so	ADV	so	_	MO	5
5	viel	viel	ADV	viel	*|*|*	OA	10
6	/	/	$,	/	_	--	5
7	als	als	KOKOM	als	_	CM	8
8	mit	mit	APPR	mit	_	CC	4
9	Wolthaten	wohltaten	NN	Wohltat	dat|pl|masc|pos	NK	8
10	uͤberwinden	überwinden	VVINF	überwinden	_	OC	14
11	oder	oder	KON	oder	_	CD	10
12	suchen	suchen	VVINF	suchen	_	CJ	11
13	zu	zu	PTKZU	zu	_	PM	14
14	gewinnen	gewinnen	VVINF	gewinnen	_	RE	3
15	/	/	$,	/	_	--	14
16	vid	fit	ADJD	fit	pos	SVP	2
17	.	.	SENT	.	_	--	16

1	Und	Und	KON	und	_	JU	3
2	dann	dann	ADV	dann	_	MO	12
3	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
4	es	es	PPER	es	nom|sg|neut|3	SB	3
5	auch	auch	ADV	auch	_	MO	12
6	offt	oft	ADV	oft	_	MO	12
7	so	so	ADV	so	_	MO	12
8	viel	viel	ADV	viel	_	OA	15
9	als	als	KOKOM	als	_	CM	10
10	mit	mit	APPR	mit	_	CC	7
11	Gewalt	Gewalt	NN	Gewalt	dat|sg|fem	NK	10
12	ergreiffen	ergreifen	VVINF	ergreifen	_	RE	4
13	/	/	$,	/	_	--	12
14	fest	fest	ADJD	fest	pos	MO	15
15	halten	halten	VVINF	halten	_	OC	3
16	und	und	KON	und	_	CD	15
17	unter	unter	APPR	unter	_	MO	19
18	sich	sich	PRF	er|es|sie	dat|pl|3	NK	17
19	beugen	beugen	VVINF	beugen	_	CJ	16
20	/	/	$,	/	_	--	19
21	vid	fit	ADJD	fit	pos	SVP	15
22	.	.	SENT	.	_	--	21

1	Wann	Wann	KOUS	wann	_	MO	8
2	ich	ich	PPER	ich	nom|sg|*|1	SB	8
3	dieses	dieses	PDS	dies	acc|sg|neut	NK	4
4	alles	alles	PIS	all	acc|sg|neut	MO	8
5	wohl	wohl	ADV	wohl	_	MO	6
6	uͤberlege	überlege	VVFIN	überlegen	nom|sg|neut|pos	CJ	4
7	/	/	$,	/	_	--	6
8	muß	muß	VMFIN	müssen	sg|1|pres|ind	--	0
9	ich	ich	PPER	ich	nom|sg|*|1	SB	8
10	gestehen	gestehen	VVINF	gestehen	_	OC	8
11	/	/	$,	/	_	--	10
12	daß	daß	KOUS	daß	_	CP	23
13	eine	eine	ART	ein	nom|sg|fem	NK	15
14	jegliche	jegliche	PIAT	jeglicher	nom|sg|fem	NK	15
15	Art	Art	NN	Art	nom|sg|fem	SB	23
16	in	in	APPR	in	_	MNR	15
17	gewisser	gewisser	ADJA	gewiß	dat|sg|fem|pos	NK	18
18	Maaß	Maß	NN	Maß	dat|sg|fem	NK	16
19	auff	auf	APPR	auf	_	MNR	18
20	den	den	ART	d	acc|sg|masc	NK	22
21	Goͤttlichen	Göttlichen	ADJA	göttlich	acc|sg|masc|pos	NK	22
22	Liebes-Zug	Liebes-Zug	NN	Liebes-Zug	acc|sg|masc	NK	19
23	koͤnne	könne	VMFIN	können	sg|3|pres|subj	CJ	8
24	gedeutet	gedeutet	VVPP	deuten	_	OC	25
25	werden	werden	VAINF	werden	_	OC	23
26	;	;	SENT	;	_	--	25

1	dann	dann	ADV	dann	_	MO	11
2	von	von	APPR	von	_	SBP	11
3	der	der	ART	d	dat|sg|fem	NK	5
4	heiligen	heiligen	ADJA	heilig	dat|sg|fem|pos	NK	5
5	Oeconomie	Ökonomie	NN	Ökonomie	dat|sg|fem	NK	2
6	und	und	KON	und	_	CD	5
7	weisen	weisen	NN	Waise	dat|sg|fem|pos	NK	8
8	Ordnung	Ordnung	NN	Ordnung	dat|sg|fem	CJ	6
9	GOttes	Gottes	NE	Gott	gen|sg|masc	AG	5
10	etwas	etwas	PIS	etwas	_	MO	11
11	anzufuͤhren	anzuführen	VVIZU	anführen	_	OC	28
12	/	/	$,	/	_	--	11
13	so	so	ADV	so	_	MO	14
14	zeucht	zeucht	VVFIN	zeugen	sg|3|pres|ind	--	0
15	er	er	PPER	er	nom|sg|masc|3	SB	14
16	zwar	zwar	ADV	zwar	_	MO	14
17	allezeit	allezeit	ADV	allezeit	_	MO	14
18	an	an	APPR	an	_	OP	14
19	uns	uns	PPER	wir	dat|pl|*|1	NK	18
20	/	/	$,	/	_	--	19
21	auch	auch	ADV	auch	_	MO	22
22	wann	wann	KOUS	wann	_	MO	26
23	wir	wir	PPER	wir	nom|pl|*|1	SB	26
24	es	es	PPER	es	acc|sg|neut|3	OA	26
25	nicht	nicht	PTKNEG	nicht	_	NG	26
26	mercken	merken	VVINF	merken	_	CJ	18
27	und	und	KON	und	_	CD	26
28	fuͤhlen	fühlen	VVINF	fühlen	_	CJ	27
29	;	;	SENT	;	_	--	28

1	dannoch	dannoch	ADV	dannoch	_	MO	2
2	kommt	kommt	VVFIN	kommen	sg|3|pres|ind	--	0
3	ER	ER	NE	ER	nom|sg|neut	SB	2
4	manchmal	manchmal	ADV	manchmal	_	MO	2
5	zu	zu	APPR	zu	_	MO	2
6	einer	einer	ART	ein	dat|sg|fem	NK	7
7	Stunde	Stunde	NN	Stunde	dat|sg|fem	NK	5
8	und	und	KON	und	_	CD	2
9	zeucht	zeucht	VVFIN	zeugen	sg|3|pres|ind	CJ	8
10	an	an	APPR	an	_	MO	9
11	einer	einer	ART	ein	dat|sg|fem	NK	12
