Wer	PWS	wer
demselben	PDAT	dieselb
Resulat	NN	Resulat
,	$,	,
daß	KOUS	dass
auf	APPR	auf
der	ART	die
Sonne	NN	Sonne
begrenzte	ADJA	begrenzt
Herde	NN	Herd|Herde
existieren	VVFIN	existieren
,	$,	,
die	PRELS	die
durch	APPR	durch
Aussendung	NN	Aussendung
von	APPR	von
Elektronen	NN	Elektron
in	APPR	in
schmalen	ADJA	schmal
Bündeln	NN	Bündel|Bündeln
den	ART	die
Erdmagnetismus	NN	Erdmagnetismus
beeinﬂussen	VVFIN	beeinﬂussen
,	$,	,
führen	VVFIN	fahren|führen
auch	ADV	auch
die	ART	die
Beobachtungen	NN	Beobachtung
über	APPR	über
die	ART	die
Wirkungen	NN	Wirkung
der	ART	die
Sonnenﬁnsternis	NN	Sonnenﬁnsternis
auf	APPR	auf
letzteren	ADJA	letzt
.	$.	.
