I.	NE	I.
das	ART	die
Grundwesen	NN	Grundwesen
des	ART	die
Menschen	NN	Mensch
in	APPR	in
solchem	PIAT	solche
Grade	NN	Grad
,	$,	,
daß	KOUS	dass
eine	ART	eine
Theorie	NN	Theorie
der	ART	die
psychischen	ADJA	psychisch
Vorgänge	NN	Vorgang
im	APPRART	in+die
Verhältnis	NN	Verhältnis
zu	APPR	zu
den	ART	die
sozialen	ADJA	sozial
aufgestellt	VVPP	aufstellen
werden	VAINF	werden
konnte	VMFIN	können
,	$,	,
nach	APPR	nach
welcher	PRELS	welche
am	APPRART	an+die
Anfange	VVFIN	anfangen
aller	PIAT	alle
menschlichen	ADJA	menschlich
Entwicklung	NN	Entwicklung
der	ART	die
Vatermord	NN	Vatermord
stünde	VVFIN	stehen
,	$,	,
dessen	PRELAT	die
späte	ADJA	spät
Auswirkungen	NN	Auswirkung
sich	PRF	sich
noch	ADV	noch
heute	ADV	heute
in	APPR	in
gewissen	ADJA	gewiss
Zügen	NN	Zug
des	ART	die
menschlichen	ADJA	menschlich
Empfindens	NN	Empfinden
nachweisen	VVINF	nachweisen
lassen	VVFIN	lassen
.	$.	.
