IV	NE	IV
Fähigkeit	NN	Fähigkeit
wieder	ADV	wieder
,	$,	,
Fleischstücke	NN	Fleischstück
aufzuschnappen	VVIZU	aufschnappen
,	$,	,
normal	ADJD	normal
zu	PTKZU	zu
kauen	VVINF	kauen
und	KON	und
zu	PTKZU	zu
schlucken	VVINF	schlucken
,	$,	,
sowie	KON	sowie
auch	ADV	auch
Milch	NN	Milch
zu	PTKZU	zu
lecken	VVINF	lecken
.	$.	.
Man	PIS	man
mußte	VMFIN	müssen
ihm	PPER	er
die	ART	die
Nahrung	NN	Nahrung
in	APPR	in
die	ART	die
Schnauze	NN	Schnauze
geben	VVINF	geben
,	$,	,
da	KOUS	da
er	PPER	er
nicht	PTKNEG	nicht
mehr	ADV	mehr
roch	VVFIN	riechen
.	$.	.
Er	PPER	er
spie	VVFIN	speien
aber	ADV	aber
Chininlösung	NN	Chininlösung
aus	PTKVZ	aus
,	$,	,
während	KOUS	während
er	PPER	er
normales	ADJA	normal
Hundefutter	NN	Hundefutter
mit	APPR	mit
Eifer	NN	Eifer
verzehrte	VVFIN	verzehren
.	$.	.
Setzte	VVFIN	setzen
man	PIS	man
die	ART	die
Fütterung	NN	Fütterung
lange	ADV	lange
aus	PTKVZ	aus
,	$,	,
so	ADV	so
wurde	VAFIN	werden
er	PPER	er
unruhig	ADJD	unruhig
;	$.	;
hatte	VAFIN	haben
er	PPER	er
im	APPRART	in+die
Gegenteil	NN	Gegenteil
mehr	ADV	mehr
als	KOKOM	als
genug	ADV	genug
gefressen	VVPP	fressen
,	$,	,
so	ADV	so
hörte	VVFIN	hören
er	PPER	er
zu	PTKZU	zu
schlucken	VVINF	schlucken
auf	APPR	auf
(	$(	(
Sättigungsgefühl	NN	Sättigungsgefühl
)	$(	)
.	$.	.
Er	PPER	er
schlief	VVFIN	schlafen
wie	KOKOM	wie
normale	ADJA	normal
Hunde	NN	Hund
,	$,	,
nur	ADV	nur
kürzere	ADJA	kurz
Zeit	NN	Zeit
,	$,	,
träumte	VVFIN	träumen
aber	ADV	aber
nicht	PTKNEG	nicht
wie	KOKOM	wie
solche	PIS	solche
,	$,	,
konnte	VMFIN	können
jedoch	ADV	jedoch
durch	APPR	durch
Schall	NN	Schall
oder	KON	oder
durch	APPR	durch
Kneifen	NN	Kneifen
geweckt	VVPP	wecken
werden	VAINF	werden
.	$.	.
Wenn	KOUS	wenn
man	PIS	man
ihn	PPER	er
kniff	VVFIN	kneifen
,	$,	,
so	ADV	so
bellte	VVFIN	bellen
er	PPER	er
und	KON	und
versuchte	VVFIN	versuchen
zu	PTKZU	zu
beißen	VVINF	beißen
,	$,	,
schnappte	VVFIN	schnappen
aber	ADV	aber
meistens	ADV	meistens
fehl	PTKVZ	fehl
.	$.	.
Obwohl	KOUS	obwohl
wenigstens	ADV	wenigstens
ein	ART	eine
Teil	NN	Teil
der	ART	die
Sehnerven	NN	Sehnerv
erhalten	VVPP	erhalten
war	VAFIN	sein
,	$,	,
machten	VVFIN	machen
ihm	PPER	er
Gesichtsreize	NN	Gesichtsreize
gar	ADV	gar
keinen	PIAT	keine
Eindruck	NN	Eindruck
.	$.	.
Dagegen	PAV	dagegen
konnte	VMFIN	können
dieser	PDAT	dies
Hund	NN	Hund
geordnet	VVPP	ordnen
gehen	VVINF	gehen
.	$.	.
